ProductID,StockOnHand,ReorderLevel,Warehouse
PROD00155,2440,243, wh-a 
PROD00156,1959,116,WH-C
PROD00157,4386,110,WH-B
PROD00158,262,474, wh-a 
PROD00159,1076,162, wh-a 
PROD00160,1309,30, wh-a 
PROD00161,3858,20,WH-B
PROD00162,935,108,WH-C
PROD00163,86,261,WH-B
PROD00164,4506,328,WH-A
PROD00165,515,449,WH-A
PROD00166,2204,214,WH-B
PROD00167,64,440,WH-A
PROD00168,2516,178,WH-A
PROD00169,1517,158,WH-A
PROD00170,34,128,WH-C
PROD00171,3320,22,WH-C
PROD00172,1508,103,WH-C
PROD00173,3028,137,WH-C
PROD00174,20,31,WH-C
PROD00175,1163,296,WH-B
PROD00176,4610,152,WH-C
PROD00177,2647,373,WH-B
PROD00178,1669,296, wh-a 
PROD00179,1430,435,WH-B
PROD00180,3800,138,WH-C
PROD00181,2709,452,WH-B
PROD00182,3529,227,WH-A
PROD00183,3133,89,WH-A
PROD00184,1649,428,WH-C
PROD00185,1194,433,WH-B
PROD00186,4390,477,WH-A
PROD00187,2567,149, wh-a 
PROD00188,2784,285,WH-C
PROD00189,4739,67,WH-A
PROD00190,2071,409,WH-B
PROD00191,1550,29, wh-a 
PROD00192,3275,395, wh-a 
PROD00193,3712,354, wh-a 
PROD00194,4447,57,WH-B
PROD00195,2344,50,WH-B
PROD00196,3671,177,WH-C
PROD00197,3139,28,WH-A
PROD00198,1054,105,WH-B
PROD00199,1334,423,WH-C
PROD00200,4617,61,WH-A
PROD00201,660,66, wh-a 
PROD00202,2173,362,WH-A
PROD00203,1311,292, wh-a 
PROD00204,2910,48,WH-C
PROD00205,967,467,WH-A
PROD00206,4953,326, wh-a 
PROD00207,3927,384,WH-C
PROD00208,2120,351,WH-A
PROD00209,4267,419,WH-A
PROD00210,2127,204,WH-B
PROD00211,1215,274, wh-a 
PROD00212,515,77, wh-a 
PROD00213,2491,432,WH-C
PROD00214,1604,62, wh-a 
PROD00215,3223,335,WH-A
PROD00216,1401,482,WH-B
PROD00217,3493,251,WH-B
PROD00218,4453,450, wh-a 
PROD00219,1245,224,WH-B
PROD00220,871,56, wh-a 
PROD00221,772,77,WH-B
PROD00222,3660,181,WH-A
PROD00223,3356,428,WH-A
PROD00224,493,483, wh-a 
PROD00225,1790,339,WH-C
PROD00226,1868,240,WH-B
PROD00227,3354,286, wh-a 
PROD00228,4906,255, wh-a 
PROD00229,291,464,WH-B
PROD00230,1872,315,WH-C
PROD00231,75,429,WH-A
PROD00232,1877,23, wh-a 
PROD00233,3649,89, wh-a 
PROD00234,4684,63, wh-a 
PROD00235,839,36, wh-a 
PROD00236,2238,268,WH-A
PROD00237,1616,52, wh-a 
PROD00238,3545,110,WH-A
PROD00239,3344,298,WH-C
PROD00240,2309,259,WH-B
PROD00241,442,366,WH-C
PROD00242,609,486,WH-B
PROD00243,516,75,WH-B
PROD00244,3219,153,WH-C
PROD00245,4273,276,WH-C
PROD00246,4746,485, wh-a 
PROD00247,4980,63,WH-B
PROD00248,1988,37,WH-C
PROD00249,4824,342, wh-a 
PROD00250,4945,102,WH-A
PROD00251,3740,23,WH-A
PROD00252,4373,354,WH-A
PROD00253,1539,148,WH-B
PROD00254,20,186, wh-a 
PROD00255,1240,322,WH-B
PROD00256,1205,70,WH-C
PROD00257,3057,257,WH-C
PROD00258,3207,46, wh-a 
PROD00259,1251,453, wh-a 
PROD00260,3289,16,WH-A
PROD00261,582,29, wh-a 
PROD00262,3948,442,WH-B
PROD00263,1446,43, wh-a 
PROD00264,4414,222,WH-C
PROD00265,411,379, wh-a 
PROD00266,3248,31,WH-C
PROD00267,2176,47,WH-A
PROD00268,4316,138,WH-A
PROD00269,999,273,WH-A
PROD00270,1426,48,WH-C
PROD00271,1592,20,WH-B
PROD00272,4793,117,WH-C
PROD00273,3146,92, wh-a 
PROD00274,2926,351,WH-B
PROD00275,2854,79, wh-a 
PROD00276,3530,312,WH-B
PROD00277,2818,447,WH-A
PROD00278,856,244,WH-C
PROD00279,874,488,WH-C
PROD00280,4665,226,WH-B
PROD00281,651,436,WH-A
PROD00282,3757,33,WH-B
PROD00283,16,489, wh-a 
PROD00284,3848,74, wh-a 
PROD00285,414,471,WH-B
PROD00286,659,248,WH-B
PROD00287,4449,368, wh-a 
PROD00288,3737,272,WH-C
PROD00289,3433,109,WH-A
PROD00290,1089,420,WH-C
PROD00291,1535,373,WH-C
PROD00292,1630,120,WH-C
PROD00293,4314,310,WH-A
PROD00294,3147,324,WH-C
PROD00295,4631,378,WH-A
PROD00296,2432,431,WH-C
PROD00297,1933,267,WH-C
PROD00298,760,58,WH-A
PROD00299,1147,287,WH-C
PROD00300,3469,66,WH-A
PROD00301,254,40,WH-A
PROD00302,928,496, wh-a 
PROD00303,265,354,WH-C
PROD00304,4733,251, wh-a 
PROD00305,679,398,WH-C
PROD00306,2746,183,WH-B
PROD00307,3214,487,WH-C
PROD00308,4324,457,WH-C
PROD00309,1926,219,WH-C
PROD00310,3661,46,WH-C
PROD00311,1443,384,WH-A
PROD00312,952,144,WH-B
PROD00313,1330,355,WH-C
PROD00314,3416,190,WH-B
PROD00315,857,69,WH-C
PROD00316,3927,166,WH-C
PROD00317,3238,106,WH-A
PROD00318,1209,280, wh-a 
PROD00319,4392,373,WH-A
PROD00320,2715,272,WH-C
PROD00321,2641,173,WH-C
PROD00322,3514,178,WH-C
PROD00323,280,231,WH-B
PROD00324,2981,37,WH-C
PROD00325,3430,187,WH-A
PROD00326,3824,331,WH-A
PROD00327,719,41,WH-A
PROD00328,3981,129,WH-C
PROD00329,293,465,WH-C
PROD00330,2782,145, wh-a 
PROD00331,1825,172,WH-A
PROD00332,1800,194, wh-a 
PROD00333,-10,254, wh-a 
PROD00334,4940,82, wh-a 
PROD00335,2860,463,WH-A
PROD00336,1386,418, wh-a 
PROD00337,3595,210,WH-C
PROD00338,2413,281,WH-B
PROD00339,3470,462,WH-C
PROD00340,3543,188,WH-A
PROD00341,4565,204,WH-C
PROD00342,1702,15,WH-C
PROD00343,3465,385,WH-C
PROD00344,97,296, wh-a 
PROD00345,3304,247,WH-C
PROD00346,4120,302,WH-A
PROD00347,4665,334, wh-a 
PROD00348,4569,150, wh-a 
PROD00349,3198,84, wh-a 
PROD00350,4338,94, wh-a 
PROD00351,821,135, wh-a 
PROD00352,2306,297,WH-A
PROD00353,2317,404,WH-A
PROD00354,4627,147,WH-A
PROD00355,2038,344,WH-B
PROD00356,2963,359, wh-a 
PROD00357,203,55,WH-B
PROD00358,1859,471, wh-a 
PROD00359,2706,432,WH-C
PROD00360,2465,185,WH-A
PROD00361,2407,197,WH-B
PROD00362,3703,386, wh-a 
PROD00363,4890,475, wh-a 
PROD00364,1737,77, wh-a 
PROD00365,1358,104, wh-a 
PROD00366,-40,355, wh-a 
PROD00367,1926,95,WH-C
PROD00368,4040,399,WH-B
PROD00369,4352,115, wh-a 
PROD00370,1246,288, wh-a 
PROD00371,1438,214,WH-A
PROD00372,249,84,WH-A
PROD00373,2732,449, wh-a 
PROD00374,1652,415, wh-a 
PROD00375,2189,222,WH-A
PROD00376,1310,463, wh-a 
PROD00377,2779,381, wh-a 
PROD00378,1971,271,WH-C
PROD00379,2912,55, wh-a 
PROD00380,730,443,WH-A
PROD00381,1481,385,WH-B
PROD00382,2432,100,WH-C
PROD00383,4830,300,WH-A
PROD00384,1777,160,WH-B
PROD00385,3480,240,WH-A
PROD00386,3080,374,WH-B
PROD00387,4373,158,WH-C
PROD00388,2759,220,WH-A
PROD00389,3456,14, wh-a 
PROD00390,3758,355,WH-A
PROD00391,884,320,WH-C
PROD00392,3903,460,WH-A
PROD00393,322,189,WH-C
PROD00394,2029,224,WH-B
PROD00395,492,157,WH-A
PROD00396,533,483,WH-A
PROD00397,3137,236,WH-B
PROD00398,4031,492,WH-A
PROD00399,4326,271,WH-A
PROD00400,1720,184, wh-a 
PROD00401,3953,106,WH-B
PROD00402,1413,39, wh-a 
PROD00403,3890,118, wh-a 
PROD00404,4471,355,WH-B
PROD00405,20,308, wh-a 
PROD00406,54,328,WH-B
PROD00407,646,25,WH-B
PROD00408,343,222,WH-A
PROD00409,4124,283,WH-B
PROD00410,3571,311,WH-A
PROD00411,3001,131,WH-C
PROD00412,1916,288,WH-C
PROD00413,4112,273,WH-B
PROD00414,4881,409,WH-B
PROD00415,3278,359,WH-B
PROD00416,374,322,WH-C
PROD00417,4291,104,WH-A
PROD00418,4844,481,WH-B
PROD00419,2637,341,WH-A
PROD00420,1140,126,WH-B
PROD00421,1909,407,WH-C
PROD00422,266,242, wh-a 
PROD00423,1620,483,WH-C
PROD00424,1160,272,WH-B
PROD00425,3676,496,WH-C
PROD00426,253,155,WH-C
PROD00427,1269,343, wh-a 
PROD00428,4907,134,WH-B
PROD00429,2900,268,WH-B
PROD00430,3425,311, wh-a 
PROD00431,3703,464,WH-B
PROD00432,2485,292,WH-A
PROD00433,2238,97,WH-C
PROD00434,848,380,WH-B
PROD00435,2459,389,WH-B
PROD00436,3586,96, wh-a 
PROD00437,3018,396, wh-a 
PROD00438,2544,139,WH-A
PROD00439,669,25,WH-C
PROD00440,-45,182,WH-A
PROD00441,496,211,WH-B
PROD00442,103,423, wh-a 
PROD00443,4423,442,WH-B
PROD00444,4161,481, wh-a 
PROD00445,560,77,WH-B
PROD00446,4529,490, wh-a 
PROD00447,4815,296, wh-a 
PROD00448,-22,106,WH-C
PROD00449,3588,497,WH-B
PROD00450,402,129,WH-B
PROD00451,3201,141, wh-a 
PROD00452,2499,164,WH-B
PROD00453,4247,240,WH-C
PROD00454,2294,158,WH-C
PROD00455,2167,44, wh-a 
PROD00456,2045,472,WH-B
PROD00457,575,116,WH-B
PROD00458,70,280,WH-A
PROD00459,2220,225, wh-a 
PROD00460,4700,183, wh-a 
PROD00461,1999,427,WH-A
PROD00462,2072,301,WH-B
PROD00463,3141,97,WH-A
PROD00464,1720,197,WH-A
PROD00465,3230,351,WH-A
PROD00466,1606,18,WH-A
PROD00467,1650,434,WH-C
PROD00468,4737,355,WH-B
PROD00469,1610,417,WH-B
PROD00470,2857,389,WH-C
PROD00471,423,356, wh-a 
PROD00472,269,310, wh-a 
PROD00473,3385,246,WH-B
PROD00474,4745,364,WH-C
PROD00475,70,118, wh-a 
PROD00476,418,264,WH-B
PROD00477,1171,385,WH-A
PROD00478,4648,251, wh-a 
PROD00479,1425,30,WH-B
PROD00480,2457,36,WH-A
PROD00481,3078,117, wh-a 
PROD00482,3862,219,WH-C
PROD00483,3631,269,WH-A
PROD00484,2781,230,WH-C
PROD00485,2083,356,WH-B
PROD00486,2073,191,WH-C
PROD00487,347,252,WH-B
PROD00488,3678,485,WH-C
PROD00489,4820,94, wh-a 
PROD00490,3665,435,WH-B
PROD00491,104,496,WH-A
PROD00492,4784,361,WH-C
PROD00493,202,317,WH-C
PROD00494,1694,237, wh-a 
PROD00495,982,475,WH-C
PROD00496,821,227,WH-A
PROD00497,3458,81, wh-a 
PROD00498,4701,444, wh-a 
PROD00499,1332,494,WH-A
PROD00500,3709,318,WH-B
PROD00501,3803,203, wh-a 
PROD00502,4139,191, wh-a 
PROD00503,4927,129,WH-C
PROD00504,2276,426,WH-C
PROD00505,3849,128,WH-A
PROD00506,539,332, wh-a 
PROD00507,2899,204,WH-A
PROD00508,1034,203,WH-A
PROD00509,2443,366,WH-B
PROD00510,2440,451,WH-A
PROD00511,3488,378,WH-B
PROD00512,2909,407,WH-A
PROD00513,1152,412, wh-a 
PROD00514,4539,435,WH-A
PROD00515,2011,329,WH-C
PROD00516,1600,300,WH-B
PROD00517,1956,410,WH-C
PROD00518,734,255,WH-B
PROD00519,4919,256,WH-C
PROD00520,1908,32,WH-C
PROD00521,2152,457,WH-B
PROD00522,3445,263, wh-a 
PROD00523,122,297,WH-A
PROD00524,4449,480,WH-A
PROD00525,1297,409,WH-B
PROD00526,2404,445,WH-C
PROD00527,808,134,WH-C
PROD00528,4291,359,WH-C
PROD00529,780,328,WH-B
PROD00530,1789,321,WH-C
PROD00531,2001,34, wh-a 
PROD00532,727,448,WH-B
PROD00533,1503,206,WH-B
PROD00534,1653,220, wh-a 
PROD00535,1181,118,WH-B
PROD00536,115,127,WH-C
PROD00537,2210,364, wh-a 
PROD00538,2457,492,WH-B
PROD00539,4876,447,WH-B
PROD00540,2975,269, wh-a 
PROD00541,1906,294,WH-C
PROD00542,326,408,WH-B
PROD00543,1590,410,WH-A
PROD00544,2456,302,WH-C
PROD00545,1450,68,WH-C
PROD00546,2351,484, wh-a 
PROD00547,987,160,WH-B
PROD00548,1184,290,WH-C
PROD00549,4931,20, wh-a 
PROD00550,3239,283,WH-B
PROD00551,1931,425,WH-C
PROD00552,4752,105,WH-B
PROD00553,1643,453,WH-A
PROD00554,485,442,WH-C
PROD00555,4255,222,WH-B
PROD00556,1001,12,WH-B
PROD00557,358,122,WH-C
PROD00558,4306,72,WH-C
PROD00559,484,228,WH-C
PROD00560,3942,313,WH-C
PROD00561,178,380,WH-A
PROD00562,1881,479,WH-C
PROD00563,4372,129,WH-C
PROD00564,4131,489,WH-A
PROD00565,1245,375, wh-a 
PROD00566,1329,109, wh-a 
PROD00567,488,19,WH-A
PROD00568,1270,161, wh-a 
PROD00569,4621,495,WH-A
PROD00570,4249,25,WH-B
PROD00571,2438,336,WH-A
PROD00572,1325,247, wh-a 
PROD00573,495,498,WH-B
PROD00574,1312,305,WH-A
PROD00575,4593,138, wh-a 
PROD00576,3285,204,WH-B
PROD00577,7,399, wh-a 
PROD00578,2410,359,WH-B
PROD00579,1345,36,WH-B
PROD00580,3369,72, wh-a 
PROD00581,2568,41,WH-C
PROD00582,62,408,WH-C
PROD00583,3263,98,WH-C
PROD00584,4054,375,WH-B
PROD00585,1841,178, wh-a 
PROD00586,2093,69,WH-B
PROD00587,3727,376,WH-A
PROD00588,2188,86, wh-a 
PROD00589,3982,206,WH-A
PROD00590,4594,475,WH-B
PROD00591,2390,138,WH-B
PROD00592,534,99,WH-A
PROD00593,4696,181, wh-a 
PROD00594,1913,172, wh-a 
PROD00595,1719,164,WH-C
PROD00596,4711,390,WH-A
PROD00597,1297,197,WH-C
PROD00598,405,428,WH-C
PROD00599,2026,325,WH-C
PROD00600,3944,150,WH-C
PROD00601,3404,152, wh-a 
PROD00602,3627,253,WH-B
PROD00603,182,384,WH-C
PROD00604,4785,356,WH-A
PROD00605,2519,160, wh-a 
PROD00606,3245,465,WH-B
PROD00607,2535,26,WH-A
PROD00608,415,122,WH-B
PROD00609,2531,497,WH-A
PROD00610,1126,169,WH-C
PROD00611,2866,29,WH-A
PROD00612,509,99,WH-A
PROD00613,3342,185,WH-C
PROD00614,74,468,WH-C
PROD00615,419,81,WH-A
PROD00616,3132,190,WH-A
PROD00617,2006,483,WH-C
PROD00618,2205,222,WH-B
PROD00619,991,78, wh-a 
PROD00620,2428,363,WH-B
PROD00621,913,126,WH-C
PROD00622,1675,471, wh-a 
PROD00623,2666,211,WH-B
PROD00624,1395,493,WH-A
PROD00625,1905,129,WH-C
PROD00626,778,31,WH-A
PROD00627,717,300, wh-a 
PROD00628,3094,246, wh-a 
PROD00629,2679,363,WH-B
PROD00630,854,408, wh-a 
PROD00631,3184,171,WH-C
PROD00632,3170,43,WH-A
PROD00633,1853,263,WH-C
PROD00634,4997,417,WH-B
PROD00635,4687,131, wh-a 
PROD00636,4111,247, wh-a 
PROD00637,3222,10,WH-C
PROD00638,931,392,WH-B
PROD00639,1494,33,WH-B
PROD00640,3002,98, wh-a 
PROD00641,3016,456,WH-A
PROD00642,4348,334,WH-A
PROD00643,2770,222, wh-a 
PROD00644,856,239,WH-C
PROD00645,4952,467,WH-C
PROD00646,1713,488, wh-a 
PROD00647,3995,440, wh-a 
PROD00648,1927,399, wh-a 
PROD00649,2463,259, wh-a 
PROD00650,1258,319,WH-A
PROD00651,178,44, wh-a 
PROD00652,2113,46, wh-a 
PROD00653,1700,352,WH-B
PROD00654,3567,472,WH-B
PROD00655,3843,264,WH-C
PROD00656,3817,296,WH-C
PROD00657,4077,378,WH-C
PROD00658,982,204,WH-B
PROD00659,688,205, wh-a 
PROD00660,235,454, wh-a 
PROD00661,3359,344,WH-B
PROD00662,4688,154, wh-a 
PROD00663,304,233,WH-C
PROD00664,1848,282, wh-a 
PROD00665,3369,260,WH-A
PROD00666,-40,215,WH-B
PROD00667,671,373, wh-a 
PROD00668,3442,88,WH-A
PROD00669,334,119,WH-C
PROD00670,2036,181,WH-B
PROD00671,849,15,WH-C
PROD00672,2172,460,WH-C
PROD00673,1749,482,WH-C
PROD00674,3674,309,WH-C
PROD00675,2366,434,WH-C
PROD00676,3501,205, wh-a 
PROD00677,2294,68,WH-B
PROD00678,2225,291, wh-a 
PROD00679,4953,125, wh-a 
PROD00680,1355,121,WH-B
PROD00681,3731,67,WH-B
PROD00682,4349,307,WH-A
PROD00683,3615,65,WH-A
PROD00684,1605,185, wh-a 
PROD00685,2043,86,WH-C
PROD00686,4920,200,WH-A
PROD00687,2843,300, wh-a 
PROD00688,688,369, wh-a 
PROD00689,2300,401,WH-A
PROD00690,4250,56, wh-a 
PROD00691,400,227,WH-C
PROD00692,3518,151,WH-C
PROD00693,4469,424,WH-B
PROD00694,4900,382, wh-a 
PROD00695,4723,437, wh-a 
PROD00696,1400,25,WH-B
PROD00697,4150,323,WH-B
PROD00698,4159,215, wh-a 
PROD00699,2150,426,WH-B
PROD00700,661,51,WH-B
PROD00701,3434,289,WH-C
PROD00702,4849,235,WH-B
PROD00703,883,441, wh-a 
PROD00704,3120,291,WH-C
PROD00705,1147,229,WH-C
PROD00706,2621,494,WH-C
PROD00707,3805,158,WH-A
PROD00708,2417,418,WH-B
PROD00709,3744,189, wh-a 
PROD00710,3377,142,WH-A
PROD00711,4136,60,WH-C
PROD00712,922,172,WH-B
PROD00713,2590,341,WH-B
PROD00714,2828,41, wh-a 
PROD00715,4406,425, wh-a 
PROD00716,2495,70,WH-A
PROD00717,204,340,WH-C
PROD00718,2035,283,WH-A
PROD00719,3804,289,WH-A
PROD00720,1136,336, wh-a 
PROD00721,2771,116,WH-C
PROD00722,2467,21,WH-B
PROD00723,683,299,WH-B
PROD00724,3942,21,WH-C
PROD00725,1932,187,WH-A
PROD00726,3372,374,WH-C
PROD00727,1052,419,WH-C
PROD00728,2798,270,WH-A
PROD00729,100,377,WH-C
PROD00730,4087,429,WH-A
PROD00731,1102,199,WH-A
PROD00732,2279,240, wh-a 
PROD00733,1874,487,WH-C
PROD00734,1443,344,WH-B
PROD00735,3391,470,WH-A
PROD00736,2538,145,WH-C
PROD00737,2059,70,WH-A
PROD00738,4827,272,WH-A
PROD00739,2620,156,WH-A
PROD00740,1783,90, wh-a 
PROD00741,2636,204,WH-A
PROD00742,2711,146, wh-a 
PROD00743,2335,157, wh-a 
PROD00744,4021,317,WH-A
PROD00745,1937,29,WH-C
PROD00746,535,437,WH-A
PROD00747,2275,174,WH-C
PROD00748,4325,304, wh-a 
PROD00749,670,10,WH-C
PROD00750,4671,149,WH-A
PROD00751,1515,127,WH-C
PROD00752,1918,30,WH-B
PROD00753,1725,156,WH-B
PROD00754,4454,109,WH-B
PROD00755,689,472,WH-C
PROD00756,1259,168,WH-B
PROD00757,3103,165, wh-a 
PROD00758,3249,155, wh-a 
PROD00759,4280,20,WH-C
PROD00760,2931,270,WH-B
PROD00761,1235,104,WH-A
PROD00762,3895,45, wh-a 
PROD00763,835,124,WH-B
PROD00764,2705,215, wh-a 
PROD00765,2921,266, wh-a 
PROD00766,2085,48,WH-B
PROD00767,3004,233,WH-B
PROD00768,-50,191,WH-C
PROD00769,4892,147,WH-B
PROD00770,4536,423, wh-a 
PROD00771,513,474,WH-C
PROD00772,2204,466,WH-A
PROD00773,4603,321,WH-B
PROD00774,3115,451,WH-B
PROD00775,4978,486,WH-C
PROD00776,3243,398,WH-C
PROD00777,3199,198,WH-B
PROD00778,2654,58,WH-B
PROD00779,2825,129,WH-C
PROD00780,211,192,WH-A
PROD00781,2428,392,WH-A
PROD00782,204,169, wh-a 
PROD00783,1752,89,WH-A
PROD00784,122,218, wh-a 
PROD00785,3034,497,WH-C
PROD00786,74,339,WH-A
PROD00787,3076,223,WH-A
PROD00788,4517,297, wh-a 
PROD00789,1731,226,WH-A
PROD00790,3367,438,WH-A
PROD00791,2969,405,WH-B
PROD00792,124,21,WH-C
PROD00793,1440,207,WH-C
PROD00794,3996,199,WH-C
PROD00795,4820,437, wh-a 
PROD00796,2220,142,WH-B
PROD00797,1734,390,WH-B
PROD00798,477,176, wh-a 
PROD00799,982,39,WH-A
PROD00800,1356,168,WH-A
PROD00801,782,312,WH-A
PROD00802,4623,73, wh-a 
PROD00803,3423,61,WH-C
PROD00804,2359,287,WH-C
PROD00805,3345,178,WH-A
PROD00806,2832,299,WH-C
PROD00807,73,159,WH-A
PROD00808,4359,440,WH-C
PROD00809,3104,473,WH-A
PROD00810,1109,445, wh-a 
PROD00811,1180,337,WH-A
PROD00812,3774,453, wh-a 
PROD00813,3179,131, wh-a 
PROD00814,3148,12, wh-a 
PROD00815,2612,212,WH-B
PROD00816,30,177,WH-C
PROD00817,1918,348, wh-a 
PROD00818,4840,246,WH-B
PROD00819,4089,157,WH-C
PROD00820,988,381,WH-A
PROD00821,3128,243,WH-B
PROD00822,2223,329,WH-A
PROD00823,3535,21,WH-C
PROD00824,4591,202,WH-A
PROD00825,403,96,WH-B
PROD00826,2291,24, wh-a 
PROD00827,3413,81,WH-A
PROD00828,733,141,WH-C
PROD00829,896,281,WH-B
PROD00830,975,250,WH-C
PROD00831,4902,299,WH-B
PROD00832,2066,213, wh-a 
PROD00833,2195,304,WH-C
PROD00834,716,265,WH-C
PROD00835,455,360,WH-B
PROD00836,4022,324, wh-a 
PROD00837,2194,56,WH-B
PROD00838,463,481,WH-A
PROD00839,295,37,WH-C
PROD00840,4554,95,WH-C
PROD00841,3888,204, wh-a 
PROD00842,1396,354,WH-B
PROD00843,1620,251,WH-A
PROD00844,2776,479,WH-C
PROD00845,2405,309, wh-a 
PROD00846,1520,179, wh-a 
PROD00847,2028,228,WH-C
PROD00848,3677,174,WH-B
PROD00849,532,297,WH-A
PROD00850,2944,226,WH-B
PROD00851,39,492, wh-a 
PROD00852,2328,298, wh-a 
PROD00853,2929,278,WH-C
PROD00854,3855,299,WH-C
PROD00855,222,55,WH-C
PROD00856,3829,428,WH-C
PROD00857,3544,66,WH-B
PROD00858,2112,291,WH-A
PROD00859,2636,266, wh-a 
PROD00860,4066,343,WH-C
PROD00861,3130,174,WH-C
PROD00862,1707,147,WH-B
PROD00863,967,340,WH-C
PROD00864,3921,432, wh-a 
PROD00865,2497,143,WH-C
PROD00866,4026,129, wh-a 
PROD00867,763,335,WH-B
PROD00868,2239,42,WH-B
