PurchaseID,PurchaseDate,SupplierID,ProductID,Quantity,UnitCost,PurchaseAmount
P000052,2023-12-26,SUP0583,PROD04369,46,29007.51,1334345.46
P000053,2025-04-11,SUP0165,PROD03039,62,51374.48,3185217.76
P000054,2025-01-19,SUP0298,PROD04431,94,64501.24,6063116.56
P000055,2025-08-28,SUP0010,PROD02424,84,63756.97,5355585.48
P000056,2023-05-22,SUP0166,PROD01136,15,19723.44,295851.6
P000057,2024-01-14,SUP0654,PROD04581,67,63363.41,4245348.47
P000058,2023-02-25,SUP0696,PROD04778,35,18342.58,641990.3
P000059,2025-05-23,SUP0690,PROD03887,54,2669.93,144176.22
P000060,2023-11-30,SUP0124,PROD03533,26,6201.32,161234.32
P000061,2023-08-18,SUP0392,PROD00696,99,70711.04,7000392.96
P000062,2023-05-25,SUP0568,PROD03226,25,92727.58,2318189.5
P000063,2023-11-29,SUP0865,PROD02312,26,59293.77,1541638.02
P000064,2025-11-19,SUP0721,PROD01108,95,77937.72,7404083.4
P000065,2024-03-15,SUP0584,PROD02367,53,39549.82,2096140.46
P000066,2024-09-20,SUP0927,PROD03144,27,38898.8,1050267.6
P000067,2024-05-02,SUP0877,PROD00426,91,77274.99,7032024.09
P000068,2023-07-28,SUP0850,PROD03929,68,42969.25,2921909.0
P000069,2023-06-10,SUP0913,PROD01115,57,71492.5,4075072.5
P000070,2024-11-13,SUP0165,PROD03504,29,54119.57,1569467.53
P000071,2023-01-01,SUP0119,PROD04462,65,79165.79,5145776.35
P000072,2023-02-04,SUP0673,PROD02692,63,51797.54,3263245.02
P000073,2024-02-15,SUP0576,PROD02773,85,56222.83,4778940.55
P000074,2023-01-01,SUP0388,PROD01741,66,31673.79,2090470.14
P000075,2024-09-28,SUP0393,PROD01058,37,87174.73,3225465.01
P000076,2024-02-08,SUP0282,PROD03446,10,45704.94,457049.4
P000077,2024-09-30,SUP0222,PROD01909,64,71256.0,4560384.0
P000078,2024-12-03,SUP0085,PROD03622,84,68881.61,5786055.24
P000079,2025-07-19,SUP0041,PROD04606,21,8689.88,182487.48
P000080,2024-01-01,SUP0532,PROD03777,20,95987.8,1919756.0
P000081,2025-10-16,SUP0896,PROD00657,27,85162.43,2299385.61
P000082,2024-04-11,SUP0063,PROD01876,34,42037.29,1429267.86
P000083,2024-04-18,SUP0343,PROD04267,76,11620.25,883139.0
P000084,2023-09-29,SUP0504,PROD04795,29,53666.37,1556324.73
P000085,2023-01-09,SUP0374,PROD04941,36,95900.48,3452417.28
P000086,2024-09-15,SUP0651,PROD01424,37,53400.43,1975815.91
P000087,2024-06-14,SUP0857,PROD01885,11,32297.96,355277.56
P000088,2025-07-24,SUP0691,PROD01984,64,19162.9,1226425.6
P000089,2025-02-24,SUP0336,PROD04748,45,78604.74,3537213.3
P000090,2025-12-13,SUP0364,PROD00672,86,83978.81,7222177.66
P000091,2023-03-16,SUP0087,PROD01622,86,35020.25,3011741.5
P000092,2023-01-27,SUP0330,PROD00790,65,17952.53,1166914.45
P000093,2025-08-10,SUP0385,PROD01961,63,73049.87,4602141.81
P000094,2024-07-09,SUP0830,PROD01809,91,38000.39,3458035.49
P000095,2025-09-14,SUP0714,PROD01127,34,57046.16,1939569.44
P000096,2024-11-07,SUP0065,PROD00187,67,47309.92,3169764.64
P000097,2024-05-18,SUP0189,PROD00300,73,43531.59,3177806.07
P000098,2023-05-05,SUP0925,PROD00247,98,25249.42,2474443.16
P000099,2024-04-25,SUP0106,PROD00714,83,14811.31,1229338.73
P000100,2024-04-13,SUP0354,PROD00446,29,50965.43,1477997.47
P000101,2025-07-13,SUP0699,PROD03387,11,88473.87,973212.57
P000102,2023-07-28,SUP0806,PROD04321,66,70033.4,4622204.4
P000103,2025-03-10,SUP0597,PROD00647,45,1668.3,75073.5
P000104,2024-10-17,SUP0572,PROD02658,86,10832.32,931579.52
P000105,2023-08-26,SUP0599,PROD02100,74,7296.96,539975.04
P000106,2025-09-06,SUP0592,PROD03090,18,83419.48,1501550.64
P000107,2023-09-17,SUP0010,PROD03283,75,50918.62,3818896.5
P000108,2025-09-30,SUP0879,PROD01916,68,1947.88,132455.84
P000109,2024-02-20,SUP0041,PROD01824,58,63085.84,3658978.72
P000110,2023-03-27,SUP0910,PROD04368,49,86543.68,4240640.32
P000111,2025-05-12,SUP0948,PROD02947,22,17800.27,391605.94
P000112,2023-01-26,SUP0066,PROD01100,79,48528.44,3833746.76
P000113,2025-07-10,SUP0373,PROD01349,52,91674.86,4767092.72
P000114,2023-01-10,SUP0506,PROD00895,76,82251.67,6251126.92
P000115,2025-08-16,SUP0032,PROD02297,29,11173.46,324030.34
P000116,2023-09-14,SUP0544,PROD03644,20,31077.4,621548.0
P000117,2023-02-26,SUP0285,PROD01220,98,24743.61,2424873.78
P000118,2023-01-12,SUP0304,PROD00273,33,37930.81,1251716.73
P000119,2023-05-08,SUP0998,PROD01100,80,48528.44,3882275.2
P000120,2024-05-27,SUP0961,PROD00630,91,48163.28,4382858.48
P000121,2025-07-14,SUP0083,PROD02890,30,19545.99,586379.7
P000122,2024-11-21,SUP0571,PROD01417,96,77661.6,7455513.6
P000123,2025-06-22,SUP0020,PROD03457,91,45498.58,4140370.78
P000124,2025-06-17,SUP0114,PROD04847,24,29890.36,717368.64
P000125,2024-01-09,SUP0143,PROD00321,45,14994.94,674772.3
P000126,2024-08-24,SUP0867,PROD01974,92,68272.74,6281092.08
P000127,2024-04-24,SUP0362,PROD04734,20,43210.52,864210.4
P000128,2023-10-13,SUP0078,PROD01637,82,88290.12,7239789.84
P000129,2025-02-15,SUP0211,PROD03254,38,14851.6,564360.8
P000130,2023-09-29,SUP0129,PROD00338,51,12482.37,636600.87
P000131,2023-06-11,SUP0454,PROD00866,15,28298.89,424483.35
P000132,2025-11-29,SUP0637,PROD00905,67,10977.64,735501.88
P000133,2023-01-29,SUP0368,PROD01435,27,7859.34,212202.18
P000134,2025-04-16,SUP0357,PROD01613,13,28653.11,372490.43
P000135,2023-12-09,SUP0860,PROD03815,19,1868.66,35504.54
P000136,2025-05-16,SUP0089,PROD03940,12,61877.42,742529.04
P000137,2024-12-07,SUP0154,PROD01657,27,3007.47,81201.69
P000138,2025-12-20,SUP0162,PROD03957,87,19190.47,1669570.89
P000139,2023-11-24,SUP0228,PROD02902,74,35606.29,2634865.46
P000140,2024-08-31,SUP0860,PROD02877,15,66617.89,999268.35
P000141,2023-05-26,SUP0380,PROD00220,75,13132.35,984926.25
P000142,2024-04-30,SUP0764,PROD04833,61,97215.99,5930175.39
P000143,2023-10-05,SUP0901,PROD04272,37,12437.53,460188.61
P000144,2023-10-21,SUP0675,PROD01092,89,52699.48,4690253.72
P000145,2025-04-23,SUP0349,PROD01935,38,36188.27,1375154.26
P000146,2025-08-17,SUP0207,PROD01361,31,97872.23,3034039.13
P000147,2024-04-08,SUP0049,PROD01307,25,64095.38,1602384.5
P000148,2025-06-04,SUP0029,PROD02578,49,6419.02,314531.98
P000149,2025-03-30,SUP0879,PROD00282,73,58982.75,4305740.75
P000150,2025-10-11,SUP0054,PROD00481,39,2711.26,105739.14
P000151,2025-02-10,SUP0802,PROD02855,73,65810.6,4804173.8
P000152,2024-02-23,SUP0671,PROD03899,84,28497.07,2393753.88
P000153,2023-09-25,SUP0798,PROD00463,86,73037.34,6281211.24
P000154,2023-08-13,SUP0581,PROD04818,93,10840.61,1008176.73
P000155,2024-04-17,SUP0827,PROD00291,17,72050.71,1224862.07
P000156,2023-11-20,SUP0729,PROD00571,11,29238.57,321624.27
P000157,2025-08-20,SUP0889,PROD01194,47,38644.98,1816314.06
P000158,2024-10-18,SUP0097,PROD04347,22,81812.51,1799875.22
P000159,2025-03-14,SUP0732,PROD04235,59,64906.14,3829462.26
P000160,2025-03-15,SUP0124,PROD03691,40,31836.03,1273441.2
P000161,2024-06-21,SUP0866,PROD02692,59,51797.54,3056054.86
P000162,2024-08-11,SUP0005,PROD01959,68,48746.77,3314780.36
P000163,2023-06-29,SUP0818,PROD02232,34,14892.87,506357.58
P000164,2023-08-16,SUP0311,PROD00081,88,9194.55,809120.4
P000165,2024-08-15,SUP0878,PROD02574,83,22139.08,1837543.64
P000166,2025-09-05,SUP0263,PROD00883,77,88039.43,6779036.11
P000167,2025-08-24,SUP0801,PROD04448,88,96337.89,8477734.32
P000168,2023-09-02,SUP0679,PROD00768,34,26995.07,917832.38
P000169,2025-09-17,SUP0580,PROD00653,80,14646.84,1171747.2
P000170,2024-10-04,SUP0780,PROD01490,58,36892.18,2139746.44
P000171,2025-04-02,SUP0934,PROD02147,51,4614.44,235336.44
P000172,2025-11-18,SUP0679,PROD01005,25,55699.79,1392494.75
P000173,2023-02-16,SUP0992,PROD01744,12,28882.0,346584.0
P000174,2024-03-20,SUP0213,PROD01539,61,90938.76,5547264.36
P000175,2025-08-22,SUP0571,PROD04784,67,75488.01,5057696.67
P000176,2023-04-07,SUP0764,PROD02163,75,58963.05,4422228.75
P000177,2025-12-25,SUP0079,PROD04761,28,12311.72,344728.16
P000178,2025-07-15,SUP0202,PROD00381,85,81627.0,6938295.0
P000179,2023-04-29,SUP0345,PROD01777,82,91987.84,7543002.88
P000180,2024-05-08,SUP0601,PROD00648,82,27481.97,2253521.54
P000181,2025-08-18,SUP0121,PROD01824,70,63085.84,4416008.8
P000182,2023-03-07,SUP0064,PROD03179,63,62357.26,3928507.38
P000183,2024-10-02,SUP0715,PROD04836,88,64524.82,5678184.16
P000184,2024-11-06,SUP0577,PROD00742,69,76021.02,5245450.38
P000185,2023-08-09,SUP0044,PROD04506,13,32249.46,419242.98
P000186,2024-01-26,SUP0560,PROD00188,69,97900.84,6755157.96
P000187,2023-03-08,SUP0384,PROD03557,53,93102.32,4934422.96
P000188,2023-03-07,SUP0885,PROD03082,44,92140.24,4054170.56
P000189,2024-08-08,SUP0283,PROD02077,11,52034.71,572381.81
P000190,2025-09-12,SUP0540,PROD03438,54,48567.11,2622623.94
P000191,2025-07-17,SUP0507,PROD01985,22,24228.43,533025.46
P000192,2025-11-18,SUP0918,PROD04498,55,35166.35,1934149.25
P000193,2024-02-03,SUP0001,PROD03471,91,25847.88,2352157.08
P000194,2023-11-09,SUP0239,PROD01586,51,96793.91,4936489.41
P000195,2024-07-22,SUP0897,PROD02245,10,21277.79,212777.9
P000196,2024-08-25,SUP0741,PROD04686,87,73284.74,6375772.38
P000197,2023-02-22,SUP0006,PROD02700,76,55776.42,4239007.92
P000198,2024-03-01,SUP0189,PROD00720,33,14206.93,468828.69
P000199,2024-04-05,SUP0048,PROD03477,71,29594.92,2101239.32
P000200,2024-05-19,SUP0267,PROD01372,28,12051.33,337437.24
P000201,2023-06-03,SUP0716,PROD00782,33,80771.23,2665450.59
P000202,2024-03-04,SUP0280,PROD03954,14,60869.09,852167.26
P000203,2023-09-22,SUP0863,PROD00736,20,56278.75,1125575.0
P000204,2023-08-20,SUP0855,PROD00686,11,16750.3,184253.3
P000205,2024-06-07,SUP0582,PROD02025,66,34920.65,2304762.9
P000206,2023-06-29,SUP0894,PROD04067,36,69173.44,2490243.84
P000207,2025-09-12,SUP0951,PROD04284,86,5173.98,444962.28
P000208,2024-02-23,SUP0342,PROD01096,62,81048.11,5024982.82
P000209,2025-02-12,SUP0307,PROD04626,79,99585.46,7867251.34
P000210,2023-07-11,SUP0422,PROD03574,96,44305.1,4253289.6
P000211,2025-06-13,SUP0017,PROD01907,62,98534.48,6109137.76
P000212,2024-06-25,SUP0625,PROD04940,46,14880.89,684520.94
P000213,2024-10-07,SUP0714,PROD02327,31,76262.56,2364139.36
P000214,2024-10-27,SUP0034,PROD04869,42,69893.49,2935526.58
P000215,2023-12-22,SUP0076,PROD03592,19,92230.32,1752376.08
P000216,2025-04-07,SUP0959,PROD00401,92,61380.47,5647003.24
P000217,2024-05-08,SUP0132,PROD02698,35,98800.65,3458022.75
P000218,2024-04-07,SUP0269,PROD03816,45,18603.08,837138.6
P000219,2025-02-23,SUP0001,PROD02431,20,57866.72,1157334.4
P000220,2024-07-26,SUP0267,PROD02356,28,92674.69,2594891.32
P000221,2023-11-26,SUP0248,PROD03886,13,3698.01,48074.13
P000222,2024-09-29,SUP0841,PROD02513,99,70637.08,6993070.92
P000223,2023-10-29,SUP0958,PROD01585,40,27048.2,1081928.0
P000224,2025-10-08,SUP0990,PROD02744,69,71966.97,4965720.93
P000225,2025-08-05,SUP0024,PROD01309,97,96202.76,9331667.72
P000226,2023-10-27,SUP0012,PROD04328,94,52036.63,4891443.22
P000227,2024-10-21,SUP0721,PROD03365,86,33587.54,2888528.44
P000228,2023-02-05,SUP0581,PROD03832,20,35264.07,705281.4
P000229,2025-05-09,SUP0912,PROD00643,74,57570.34,4260205.16
P000230,2023-11-10,SUP0642,PROD01522,89,80350.92,7151231.88
P000231,2023-12-25,SUP0011,PROD04697,80,5984.2,478736.0
P000232,2025-03-08,SUP0419,PROD03506,92,47057.92,4329328.64
P000233,2024-07-31,SUP0822,PROD01872,41,87457.61,3585762.01
P000234,2025-04-25,SUP0642,PROD02797,29,81116.57,2352380.53
P000235,2025-10-08,SUP0434,PROD03847,45,93039.9,4186795.5
P000236,2025-10-21,SUP0585,PROD04394,17,44499.63,756493.71
P000237,2023-06-25,SUP0370,PROD03701,31,25001.23,775038.13
P000238,2024-11-15,SUP0355,PROD00939,85,52551.13,4466846.05
P000239,2025-05-21,SUP0920,PROD02599,44,36152.77,1590721.88
P000240,2024-07-15,SUP0724,PROD02749,82,81481.3,6681466.6
P000241,2024-06-08,SUP0914,PROD04313,85,45764.74,3890002.9
P000242,2025-01-20,SUP0935,PROD02904,54,65382.67,3530664.18
P000243,2025-01-15,SUP0885,PROD03752,47,67373.13,3166537.11
P000244,2025-03-30,SUP0361,PROD02909,34,34236.58,1164043.72
P000245,2023-03-25,SUP0342,PROD00541,97,89624.94,8693619.18
P000246,2025-01-19,SUP0608,PROD02582,99,36155.68,3579412.32
P000247,2024-07-27,SUP0921,PROD02195,59,58215.2,3434696.8
P000248,2025-11-06,SUP0888,PROD03794,60,54280.3,3256818.0
P000249,2025-09-02,SUP0208,PROD00655,97,33624.46,3261572.62
P000250,2024-02-14,SUP0102,PROD04435,35,71435.3,2500235.5
P000251,2025-12-24,SUP0816,PROD02894,54,92240.54,4980989.16
P000252,2024-09-05,SUP0542,PROD04729,20,54411.99,1088239.8
P000253,2023-09-11,SUP0022,PROD03172,65,59677.53,3879039.45
P000254,2023-11-18,SUP0771,PROD03324,68,23640.11,1607527.48
P000255,2025-06-17,SUP0917,PROD04722,74,43467.17,3216570.58
P000256,2025-07-25,SUP0463,PROD02254,64,53924.83,3451189.12
P000257,2024-07-09,SUP0461,PROD03950,46,78735.55,3621835.3
P000258,2025-02-21,SUP0060,PROD02894,39,92240.54,3597381.06
P000259,2025-05-05,SUP0203,PROD03956,60,4357.71,261462.6
P000260,2025-01-08,SUP0408,PROD01095,90,48683.41,4381506.9
P000261,2023-09-21,SUP0588,PROD00828,60,38224.61,2293476.6
P000262,2024-04-01,SUP0914,PROD00719,11,55048.1,605529.1
P000263,2025-07-09,SUP0680,PROD01512,62,65624.08,4068692.96
P000264,2024-01-28,SUP0658,PROD03043,14,30165.95,422323.3
P000265,2025-08-25,SUP0010,PROD00924,71,90820.55,6448259.05
P000266,2024-06-22,SUP0052,PROD04352,49,72211.63,3538369.87
P000267,2023-04-16,SUP0822,PROD02950,40,50862.09,2034483.6
P000268,2025-12-13,SUP0333,PROD03560,32,88087.96,2818814.72
P000269,2024-04-08,SUP0796,PROD03597,47,83399.81,3919791.07
P000270,2025-07-28,SUP0637,PROD00047,22,45882.04,1009404.88
P000271,2025-11-12,SUP0910,PROD00700,49,93906.04,4601395.96
P000272,2023-08-19,SUP0093,PROD04392,84,40081.96,3366884.64
P000273,2024-07-02,SUP0045,PROD04311,58,34012.77,1972740.66
P000274,2024-10-29,SUP0933,PROD00386,17,56586.94,961977.98
P000275,2025-03-04,SUP0226,PROD01637,77,88290.12,6798339.24
P000276,2023-03-27,SUP0403,PROD04465,19,67294.81,1278601.39
P000277,2024-07-05,SUP0216,PROD03527,97,79149.27,7677479.19
P000278,2023-03-28,SUP0685,PROD04492,34,78698.27,2675741.18
P000279,2023-04-03,SUP0941,PROD02887,71,4489.99,318789.29
P000280,2025-12-09,SUP0786,PROD03293,17,92552.41,1573390.97
P000281,2023-11-24,SUP0704,PROD02963,61,19646.59,1198441.99
P000282,2023-06-22,SUP0427,PROD00446,73,50965.43,3720476.39
P000283,2025-02-13,SUP0708,PROD00030,65,8549.2,555698.0
P000284,2024-07-24,SUP0701,PROD01158,13,23043.82,299569.66
P000285,2025-08-16,SUP0686,PROD01129,45,1763.75,79368.75
P000286,2023-06-07,SUP0969,PROD02237,16,11312.27,180996.32
P000287,2024-09-09,SUP0108,PROD03563,78,30597.17,2386579.26
P000288,2025-05-27,SUP0081,PROD01218,13,38205.09,496666.17
P000289,2025-06-01,SUP0057,PROD00754,40,57183.67,2287346.8
P000290,2025-03-30,SUP0130,PROD04846,50,59523.06,2976153.0
P000291,2023-01-15,SUP0248,PROD00492,22,40855.54,898821.88
P000292,2025-04-24,SUP0849,PROD01599,80,46620.79,3729663.2
P000293,2024-05-06,SUP0683,PROD04740,79,60157.52,4752444.08
P000294,2024-05-02,SUP0711,PROD04672,43,78855.42,3390783.06
P000295,2024-04-11,SUP0436,PROD01874,52,84779.14,4408515.28
P000296,2023-06-05,SUP0008,PROD04137,19,43846.42,833081.98
P000297,2023-02-13,SUP0244,PROD02021,90,33297.33,2996759.7
P000298,2024-01-16,SUP0058,PROD00671,57,37192.81,2119990.17
P000299,2025-05-12,SUP0105,PROD04306,98,64380.0,6309240.0
P000300,2023-03-03,SUP0343,PROD00652,62,8223.3,509844.6
P000301,2024-03-08,SUP0837,PROD04435,37,71435.3,2643106.1
P000302,2023-09-14,SUP0618,PROD01120,76,62058.97,4716481.72
P000303,2023-09-20,SUP0040,PROD00753,73,66939.09,4886553.57
P000304,2025-09-07,SUP0813,PROD02248,83,73180.08,6073946.64
P000305,2025-05-21,SUP0186,PROD04366,43,88900.79,3822733.97
P000306,2025-02-19,SUP0800,PROD01114,65,77593.06,5043548.9
P000307,2023-04-03,SUP0344,PROD04938,17,56380.83,958474.11
P000308,2024-12-04,SUP0659,PROD04461,16,39173.5,626776.0
P000309,2023-12-31,SUP0110,PROD00683,75,4037.39,302804.25
P000310,2023-08-23,SUP0938,PROD00063,61,69560.03,4243161.83
P000311,2024-12-26,SUP0195,PROD04621,47,34600.35,1626216.45
P000312,2025-05-05,SUP0747,PROD04251,75,28545.78,2140933.5
P000313,2025-06-29,SUP0669,PROD02219,76,35295.09,2682426.84
P000314,2025-09-05,SUP0402,PROD02931,30,4727.14,141814.2
P000315,2024-03-15,SUP0280,PROD02074,42,78927.73,3314964.66
P000316,2023-09-05,SUP0339,PROD00669,59,42426.64,2503171.76
P000317,2023-12-26,SUP0368,PROD04320,47,58465.68,2747886.96
P000318,2024-09-16,SUP0374,PROD02274,25,47432.43,1185810.75
P000319,2025-05-31,SUP0730,PROD01286,24,23026.82,552643.68
P000320,2023-06-12,SUP0012,PROD00790,67,17952.53,1202819.51
P000321,2024-08-17,SUP0544,PROD00417,85,66672.46,5667159.1
P000322,2025-09-12,SUP0635,PROD02492,65,22037.03,1432406.95
P000323,2024-09-07,SUP0534,PROD01677,78,73929.09,5766469.02
P000324,2024-04-24,SUP0066,PROD00400,62,48459.58,3004493.96
P000325,2024-02-26,SUP0440,PROD04425,57,54236.17,3091461.69
P000326,2024-11-25,SUP0831,PROD01320,88,76581.6,6739180.8
P000327,2025-08-14,SUP0994,PROD00971,51,26181.07,1335234.57
P000328,2023-05-24,SUP0918,PROD02599,86,36152.77,3109138.22
P000329,2025-02-11,SUP0296,PROD00164,65,23087.98,1500718.7
P000330,2025-09-04,SUP0572,PROD00711,53,95015.83,5035838.99
P000331,2024-12-04,SUP0680,PROD01748,26,9211.4,239496.4
P000332,2023-03-08,SUP0808,PROD01783,69,3532.81,243763.89
P000333,2024-10-05,SUP0184,PROD01232,44,79095.29,3480192.76
P000334,2025-06-21,SUP0295,PROD01177,80,60478.6,4838288.0
P000335,2023-09-18,SUP0135,PROD04284,75,5173.98,388048.5
P000336,2024-05-29,SUP0585,PROD02522,19,57603.47,1094465.93
P000337,2024-07-02,SUP0281,PROD04761,45,12311.72,554027.4
P000338,2025-12-27,SUP0959,PROD01089,40,74036.64,2961465.6
P000339,2025-02-02,SUP0270,PROD02866,61,15916.63,970914.43
P000340,2024-05-24,SUP0298,PROD01687,95,83527.86,7935146.7
P000341,2023-08-15,SUP0456,PROD02872,17,20480.13,348162.21
P000342,2025-03-31,SUP0163,PROD00241,65,7449.85,484240.25
P000343,2023-07-05,SUP0760,PROD02073,34,46264.45,1572991.3
P000344,2024-02-11,SUP0428,PROD03308,80,74176.6,5934128.0
P000345,2024-05-11,SUP0490,PROD02603,24,38632.84,927188.16
P000346,2024-07-27,SUP0828,PROD03970,94,69718.66,6553554.04
P000347,2024-12-24,SUP0627,PROD04936,15,5619.46,84291.9
P000348,2023-03-14,SUP0257,PROD02254,37,53924.83,1995218.71
P000349,2024-05-21,SUP0689,PROD01735,31,40740.55,1262957.05
P000350,2024-10-29,SUP0793,PROD03047,86,71553.0,6153558.0
P000351,2025-04-30,SUP0802,PROD02860,60,60412.7,3624762.0
P000352,2023-03-01,SUP0171,PROD03538,89,11518.58,1025153.62
P000353,2023-01-13,SUP0582,PROD02043,61,3223.77,196649.97
P000354,2025-02-02,SUP0485,PROD01516,94,66245.71,6227096.74
P000355,2024-01-21,SUP0293,PROD01154,61,66656.36,4066037.96
P000356,2024-02-24,SUP0162,PROD01346,49,1027.37,50341.13
P000357,2025-11-03,SUP0607,PROD00307,84,55808.48,4687912.32
P000358,2023-07-08,SUP0578,PROD02414,94,53481.54,5027264.76
P000359,2024-11-16,SUP0709,PROD01773,11,49565.53,545220.83
P000360,2024-06-26,SUP0811,PROD00514,62,49128.28,3045953.36
P000361,2023-08-16,SUP0525,PROD04479,43,81550.16,3506656.88
P000362,2023-06-24,SUP0639,PROD03563,55,30597.17,1682844.35
P000363,2023-01-08,SUP0703,PROD04650,20,57568.59,1151371.8
P000364,2025-08-09,SUP0474,PROD01803,93,49260.22,4581200.46
P000365,2024-12-02,SUP0736,PROD02776,83,3674.22,304960.26
P000366,2024-01-06,SUP0489,PROD01853,27,8050.0,217350.0
P000367,2023-02-01,SUP0176,PROD02507,40,37818.39,1512735.6
P000368,2024-10-10,SUP0518,PROD00044,51,45557.49,2323431.99
P000369,2024-10-23,SUP0575,PROD03242,61,53317.9,3252391.9
P000370,2023-06-21,SUP0591,PROD03048,71,4572.24,324629.04
P000371,2025-05-30,SUP0397,PROD00560,39,16790.49,654829.11
P000372,2025-10-30,SUP0759,PROD00590,82,66157.8,5424939.6
P000373,2023-05-28,SUP0755,PROD04455,88,24216.73,2131072.24
P000374,2025-11-29,SUP0868,PROD03513,79,53773.84,4248133.36
P000375,2024-01-29,SUP0798,PROD02801,46,50783.07,2336021.22
P000376,2025-03-05,SUP0716,PROD02262,51,14064.35,717281.85
P000377,2024-12-21,SUP0840,PROD03212,33,50058.9,1651943.7
P000378,2024-06-04,SUP0471,PROD01072,40,67449.92,2697996.8
P000379,2023-07-11,SUP0128,PROD01669,17,8538.04,145146.68
P000380,2023-05-12,SUP0587,PROD03432,34,66049.3,2245676.2
P000381,2025-10-26,SUP0694,PROD03067,95,80059.37,7605640.15
P000382,2023-01-05,SUP0710,PROD04555,15,60663.24,909948.6
P000383,2023-10-24,SUP0097,PROD01551,36,35514.93,1278537.48
P000384,2023-10-06,SUP0778,PROD01804,70,38555.19,2698863.3
P000385,2023-08-31,SUP0613,PROD00217,37,77097.36,2852602.32
P000386,2024-04-18,SUP0549,PROD04352,32,72211.63,2310772.16
P000387,2025-11-10,SUP0628,PROD02561,38,75676.82,2875719.16
P000388,2023-01-06,SUP0630,PROD00606,96,38380.91,3684567.36
P000389,2023-08-29,SUP0791,PROD01437,98,82678.59,8102501.82
