ProductID,ProductName,Category,SubCategory,Brand,UnitPrice,UnitCost
PROD00076,HP Keyboard,Accessories,Mouse,Samsung,73224.38,85756.77
PROD00077,Epson Printer,Office Equipment,Printer,Canon,37926.19,22594.99
PROD00078,HP Scanner,Office Equipment,Scanner,Epson,101978.66,21991.36
PROD00079,Apple Printer,Office Equipment,Scanner,Logitech,120121.15,57501.35
PROD00080,Dell Printer,Office Equipment,Printer,Asus,135288.65,30506.03
PROD00081,Logitech Storage,Accessories,Keyboard,Dell,92495.22,9194.55
PROD00082,Apple Mobile,Electronics,Computers,Sony,35149.82,31115.25
PROD00083,Sony Scanner,Office Equipment,Printer,Epson,93179.18,96779.18
PROD00084,Samsung Audio,Electronics,Mobile,Asus,66886.12,43052.6
PROD00085,HP Networking,Office Equipment,Printer,Sony,142923.09,46471.68
PROD00086,Canon Mobile,Electronics,Mobile,Asus,52937.53,99726.83
PROD00087,HP Scanner,Office Equipment,Printer,Canon,71464.22,44715.3
PROD00088,Epson Audio,Electronics,Computers,Samsung,124461.01,23817.63
PROD00089,Logitech Mouse,Accessories,Keyboard,Canon,34013.8,20704.87
PROD00090,Logitech Mobile,Electronics,Mobile,Canon,70180.21,77563.86
PROD00091,HP Computers,Electronics,Audio,Canon,127285.92,36793.98
PROD00092,Sony Scanner,Office Equipment,Scanner,HP,19164.75,46886.76
PROD00093,Samsung Scanner,Office Equipment,Networking,Dell,38401.9,93344.09
PROD00094,Apple Networking,Office Equipment,Printer,HP,76958.56,66315.96
PROD00095,Asus Mouse,Accessories,Keyboard,HP,100408.14,40186.41
PROD00096,Logitech Scanner,Office Equipment,Printer,Asus,79717.78,87384.51
PROD00097,Logitech Mouse,Accessories,Storage,Logitech,137303.59,90984.94
PROD00098,Sony Printer,Office Equipment,Printer,Samsung,74762.23,60220.82
PROD00099,Sony Networking,Office Equipment,Networking,HP,56240.14,96391.61
PROD00100,HP Keyboard,Accessories,Storage,Asus,76192.38,32315.94
PROD00101,Samsung Keyboard,Accessories,Storage,Asus,68432.97,37783.88
PROD00102,HP Networking,Office Equipment,Networking,Logitech,90450.44,98176.83
PROD00103,Epson Computers,Electronics,Mobile,Canon,91595.3,71652.35
PROD00104,Dell Keyboard,Accessories,Storage,Epson,125309.51,66488.37
PROD00105,Samsung Scanner,Office Equipment,Printer,Epson,53790.1,34326.44
PROD00106,Canon Mobile,Electronics,Mobile,Samsung,27377.67,9318.66
PROD00107,Lenovo Audio,Electronics,Computers,HP,9265.4,53862.39
PROD00108,Logitech Scanner,Office Equipment,Networking,Samsung,99665.53,33270.86
PROD00109,Samsung Computers,Electronics,Computers,HP,118270.75,90522.55
PROD00110,Lenovo Networking,Office Equipment,Printer,Logitech,78450.49,90878.71
PROD00111,Logitech Mobile,Electronics,Computers,Dell,20729.46,87972.95
PROD00112,Apple Scanner,Office Equipment,Networking,Logitech,37149.88,49880.36
PROD00113,Sony Keyboard,Accessories,Storage,Lenovo,53639.27,68760.71
PROD00114,Logitech Networking,Office Equipment,Scanner,HP,117938.06,10132.51
PROD00115,Lenovo Mouse,Accessories,Storage,Apple,61173.93,39235.87
PROD00116,Epson Mouse,Accessories,Keyboard,Apple,128912.3,98348.18
PROD00117,HP Printer,Office Equipment,Scanner,Samsung,85399.15,99741.6
PROD00118,Epson Storage,Accessories,Storage,Sony,75729.31,63151.62
PROD00119,Logitech Networking,Office Equipment,Scanner,Samsung,61311.64,75372.46
PROD00120,Canon Audio,Electronics,Computers,HP,32867.41,48382.08
PROD00121,Logitech Mouse,Accessories,Storage,Epson,127941.15,32464.94
PROD00122,Canon Mouse,Accessories,Storage,Epson,9319.37,23760.42
PROD00123,Epson Networking,Office Equipment,Printer,Logitech,54836.0,95158.43
PROD00124,Logitech Storage,Accessories,Mouse,Lenovo,33209.21,32343.06
PROD00125,Sony Keyboard,Accessories,Storage,Lenovo,5043.81,14576.5
PROD00126,Apple Audio,Electronics,Mobile,HP,3011.48,47750.01
PROD00127,Samsung Audio,Electronics,Mobile,Apple,9569.36,24068.26
PROD00128,Lenovo Mobile,Electronics,Audio,Asus,22922.95,22822.52
PROD00129,Apple Audio,Electronics,Computers,Logitech,74950.28,26390.46
PROD00130,Dell Audio,Electronics,Computers,Dell,67436.31,80369.91
PROD00131,Apple Audio,Electronics,Audio,Canon,46037.46,7013.51
PROD00132,Samsung Networking,Office Equipment,Networking,Apple,69243.64,2179.71
PROD00133,Lenovo Keyboard,Accessories,Mouse,Logitech,57199.92,43472.94
PROD00134,Epson Storage,Accessories,Mouse,Asus,56249.98,81061.39
PROD00135,Asus Networking,Office Equipment,Printer,Lenovo,132306.34,72636.73
PROD00136,Lenovo Storage,Accessories,Mouse,Canon,21639.56,79177.37
PROD00137,Dell Storage,Accessories,Mouse,Asus,70784.21,85641.0
PROD00138,Asus Storage,Accessories,Storage,Canon,136470.79,57314.0
PROD00139,HP Keyboard,Accessories,Mouse,Lenovo,147064.33,85340.82
PROD00140,Asus Scanner,Office Equipment,Printer,Apple,92388.45,9970.5
PROD00141,Samsung Scanner,Office Equipment,Scanner,Logitech,61096.48,34359.73
PROD00142,Epson Scanner,Office Equipment,Networking,Dell,46238.43,44890.51
PROD00143,Epson Mobile,Electronics,Computers,Lenovo,17557.37,4245.09
PROD00144,HP Scanner,Office Equipment,Scanner,Logitech,739.63,42774.83
PROD00145,Logitech Storage,Accessories,Keyboard,Epson,16951.98,72396.48
PROD00146,Logitech Networking,Office Equipment,Printer,Logitech,15295.63,98312.16
PROD00147,Apple Audio,Electronics,Computers,Canon,129370.18,45673.0
PROD00148,Logitech Printer,Office Equipment,Networking,Asus,122198.03,11870.45
PROD00149,Dell Mobile,Electronics,Mobile,Dell,55526.69,6434.67
PROD00150,Samsung Scanner,Office Equipment,Networking,Lenovo,71662.42,91768.23
PROD00151,Dell Keyboard,Accessories,Storage,Lenovo,37538.9,24638.28
PROD00152,Lenovo Audio,Electronics,Mobile,Apple,41500.2,96640.72
PROD00153,Epson Networking,Office Equipment,Networking,Dell,147864.4,43373.4
PROD00154,Dell Storage,Accessories,Storage,Dell,66178.58,36657.98
PROD00155,Samsung Mouse,Accessories,Keyboard,Epson,90803.14,22614.08
PROD00156,Epson Scanner,Office Equipment,Scanner,Epson,58950.7,60185.26
PROD00157,HP Mobile,Electronics,Audio,Canon,72639.45,58378.85
PROD00158,Lenovo Scanner,Office Equipment,Networking,Sony,50866.0,61402.66
PROD00159,Lenovo Networking,Office Equipment,Printer,Lenovo,51852.44,31299.88
PROD00160,Lenovo Audio,Electronics,Computers,Asus,77229.86,29186.31
PROD00161,Logitech Audio,Electronics,Mobile,Sony,146818.07,25811.0
PROD00162,Logitech Keyboard,Accessories,Mouse,Logitech,99144.89,81229.03
PROD00163,Asus Mobile,Electronics,Audio,Samsung,64229.9,45225.36
PROD00164,Canon Storage,Accessories,Storage,Epson,82783.83,23087.98
PROD00165,Lenovo Mobile,Electronics,Computers,Samsung,133608.64,56503.94
PROD00166,Samsung Mouse,Accessories,Keyboard,Sony,17340.94,30199.93
PROD00167,Sony Scanner,Office Equipment,Networking,Sony,38346.46,65987.09
PROD00168,Dell Networking,Office Equipment,Networking,Samsung,110204.76,61598.14
PROD00169,Canon Printer,Office Equipment,Networking,Logitech,96159.51,48033.36
PROD00170,Canon Keyboard,Accessories,Storage,Sony,61377.04,70746.92
PROD00171,Dell Scanner,Office Equipment,Networking,HP,85433.05,5377.82
PROD00172,Epson Scanner,Office Equipment,Networking,Asus,84354.84,79281.7
PROD00173,Epson Storage,Accessories,Keyboard,Logitech,122663.93,88212.48
PROD00174,Asus Audio,Electronics,Computers,Lenovo,133097.65,59968.29
PROD00175,Asus Mouse,Accessories,Storage,Dell,17618.19,46303.47
PROD00176,Sony Keyboard,Accessories,Storage,Lenovo,74470.15,22762.3
PROD00177,Sony Storage,Accessories,Keyboard,Epson,69093.25,16688.8
PROD00178,Dell Storage,Accessories,Storage,Asus,104502.86,77657.11
PROD00179,Lenovo Keyboard,Accessories,Keyboard,Asus,13660.07,52693.7
PROD00180,Lenovo Mouse,Accessories,Mouse,Logitech,68864.27,51349.81
PROD00181,Sony Audio,Electronics,Mobile,Canon,100595.81,83850.89
PROD00182,Asus Scanner,Office Equipment,Networking,Lenovo,5951.13,38083.62
PROD00183,Apple Storage,Accessories,Storage,Dell,143413.13,42631.09
PROD00184,Apple Mouse,Accessories,Mouse,Asus,12939.41,31761.5
PROD00185,Dell Mobile,Electronics,Computers,HP,113130.88,61805.44
PROD00186,Dell Mouse,Accessories,Storage,Dell,120148.76,59261.57
PROD00187,Logitech Mouse,Accessories,Storage,Dell,26639.63,47309.92
PROD00188,Lenovo Audio,Electronics,Mobile,Epson,95966.04,97900.84
PROD00189,HP Scanner,Office Equipment,Printer,Dell,31067.38,7873.89
PROD00190,Asus Networking,Office Equipment,Networking,Sony,69931.42,13034.46
PROD00191,Apple Scanner,Office Equipment,Networking,Samsung,15116.25,21575.3
PROD00192,Lenovo Keyboard,Accessories,Storage,Lenovo,113477.49,76587.85
PROD00193,Epson Mobile,Electronics,Computers,Sony,147032.17,49522.28
PROD00194,HP Computers,Electronics,Audio,Asus,28649.11,68680.4
PROD00195,Apple Networking,Office Equipment,Printer,Dell,47669.89,69817.03
PROD00196,Apple Mouse,Accessories,Mouse,Canon,28795.07,11942.38
PROD00197,Canon Printer,Office Equipment,Networking,Dell,10554.25,59473.02
PROD00198,HP Audio,Electronics,Computers,Samsung,135238.09,61713.96
PROD00199,Logitech Mobile,Electronics,Audio,Apple,95077.04,43354.96
PROD00200,Epson Keyboard,Accessories,Keyboard,HP,106595.56,41772.74
PROD00201,Apple Storage,Accessories,Mouse,Logitech,64532.09,37987.44
PROD00202,Samsung Storage,Accessories,Keyboard,Epson,97134.8,67010.47
PROD00203,Canon Computers,Electronics,Mobile,Apple,114021.85,67529.77
PROD00204,Dell Mouse,Accessories,Storage,Canon,127550.02,6525.14
PROD00205,Lenovo Scanner,Office Equipment,Networking,Samsung,147094.31,27732.21
PROD00206,Epson Keyboard,Accessories,Mouse,Dell,73655.14,77676.33
PROD00207,Epson Storage,Accessories,Mouse,Dell,13893.86,69750.0
PROD00208,Epson Keyboard,Accessories,Mouse,Canon,62538.28,36270.07
PROD00209,HP Computers,Electronics,Audio,Logitech,114764.89,94054.35
PROD00210,Epson Mouse,Accessories,Mouse,Asus,27981.28,34214.59
PROD00211,Lenovo Keyboard,Accessories,Keyboard,Apple,44821.07,93413.25
PROD00212,Lenovo Storage,Accessories,Keyboard,Sony,105411.81,94285.56
PROD00213,Samsung Audio,Electronics,Audio,Samsung,139441.21,21198.16
PROD00214,Logitech Computers,Electronics,Mobile,HP,144003.03,13281.66
PROD00215,Canon Printer,Office Equipment,Networking,Asus,104824.62,51467.4
PROD00216,Epson Networking,Office Equipment,Printer,HP,104349.09,99395.61
PROD00217,Apple Audio,Electronics,Computers,Dell,83940.26,77097.36
PROD00218,Sony Printer,Office Equipment,Networking,Samsung,17068.79,65162.65
PROD00219,Samsung Scanner,Office Equipment,Printer,Epson,55473.85,87867.36
PROD00220,Samsung Mouse,Accessories,Storage,Asus,71159.77,13132.35
PROD00221,Lenovo Storage,Accessories,Keyboard,Asus,122002.83,58446.74
PROD00222,Apple Networking,Office Equipment,Printer,Samsung,117556.05,89645.4
PROD00223,Canon Mobile,Electronics,Mobile,Epson,31123.24,53861.61
PROD00224,Lenovo Printer,Office Equipment,Printer,Canon,131651.23,17599.0
PROD00225,Samsung Networking,Office Equipment,Printer,HP,42826.79,7492.79
PROD00226,Lenovo Keyboard,Accessories,Mouse,Canon,6262.55,95085.21
PROD00227,Samsung Networking,Office Equipment,Scanner,Sony,119988.02,99387.83
PROD00228,Asus Keyboard,Accessories,Storage,Samsung,20689.57,47058.51
PROD00229,Samsung Audio,Electronics,Audio,Apple,47434.88,43627.86
PROD00230,Epson Mouse,Accessories,Keyboard,Epson,110044.05,28307.21
PROD00231,Apple Mobile,Electronics,Audio,Samsung,1606.66,29228.67
PROD00232,Apple Audio,Electronics,Computers,Lenovo,101584.57,15942.23
PROD00233,HP Computers,Electronics,Computers,Epson,62902.39,23658.26
PROD00234,Asus Scanner,Office Equipment,Networking,Sony,19184.97,3544.41
PROD00235,HP Computers,Electronics,Mobile,Lenovo,1757.55,21425.53
PROD00236,Apple Storage,Accessories,Storage,Logitech,139323.13,24697.87
PROD00237,Dell Scanner,Office Equipment,Networking,Canon,74830.48,32187.65
PROD00238,Samsung Audio,Electronics,Computers,Samsung,114451.46,76486.62
PROD00239,Samsung Networking,Office Equipment,Printer,Dell,46349.36,84643.03
PROD00240,Samsung Scanner,Office Equipment,Networking,HP,68530.31,86810.89
PROD00241,Logitech Printer,Office Equipment,Networking,Sony,71265.92,7449.85
PROD00242,Asus Keyboard,Accessories,Keyboard,Apple,33574.44,27549.85
PROD00243,Logitech Audio,Electronics,Computers,Logitech,7956.68,75898.25
PROD00244,Epson Mouse,Accessories,Storage,Lenovo,92719.5,34163.56
PROD00245,Canon Audio,Electronics,Computers,Sony,68958.72,35703.56
PROD00246,Epson Scanner,Office Equipment,Printer,Asus,16405.89,39202.57
PROD00247,Apple Storage,Accessories,Storage,Samsung,55313.06,25249.42
PROD00248,Lenovo Scanner,Office Equipment,Printer,Logitech,79190.97,97984.23
PROD00249,Samsung Printer,Office Equipment,Networking,Logitech,140722.44,63742.43
PROD00250,Samsung Storage,Accessories,Mouse,Apple,36977.96,13019.72
PROD00251,Logitech Mouse,Accessories,Keyboard,Epson,146803.29,62862.88
PROD00252,Canon Mobile,Electronics,Audio,Dell,75373.93,97802.24
PROD00253,Apple Scanner,Office Equipment,Scanner,Canon,6831.79,22846.82
PROD00254,Asus Keyboard,Accessories,Storage,HP,58888.25,94512.58
PROD00255,Dell Mouse,Accessories,Storage,HP,43072.82,26373.51
PROD00256,Samsung Audio,Electronics,Mobile,Sony,58594.82,54311.38
PROD00257,Sony Mouse,Accessories,Keyboard,Epson,104614.07,63273.38
PROD00258,Epson Scanner,Office Equipment,Printer,Apple,20424.45,54889.79
PROD00259,Lenovo Printer,Office Equipment,Printer,HP,110734.35,55485.8
PROD00260,Canon Networking,Office Equipment,Printer,Sony,73067.26,20240.9
PROD00261,Dell Networking,Office Equipment,Networking,Apple,80831.3,56416.67
PROD00262,HP Keyboard,Accessories,Storage,Lenovo,148676.43,87428.68
PROD00263,Sony Audio,Electronics,Mobile,Lenovo,89705.15,30679.5
PROD00264,HP Mobile,Electronics,Computers,Dell,129064.7,52428.02
PROD00265,HP Mobile,Electronics,Audio,Logitech,39380.33,41970.79
PROD00266,Sony Storage,Accessories,Mouse,Samsung,67897.46,76493.39
PROD00267,Apple Scanner,Office Equipment,Printer,Apple,29665.67,13043.65
PROD00268,Sony Computers,Electronics,Computers,Sony,57761.39,88956.23
PROD00269,Asus Mouse,Accessories,Keyboard,Lenovo,74599.97,73333.66
PROD00270,Asus Storage,Accessories,Keyboard,Samsung,65279.11,91204.03
PROD00271,Asus Computers,Electronics,Computers,Apple,39319.96,93286.43
PROD00272,Samsung Networking,Office Equipment,Networking,Sony,65873.64,96009.2
PROD00273,Samsung Networking,Office Equipment,Printer,Asus,143366.92,37930.81
PROD00274,Samsung Keyboard,Accessories,Keyboard,Epson,32440.67,49814.97
PROD00275,Samsung Scanner,Office Equipment,Printer,Samsung,108825.34,67626.0
PROD00276,Lenovo Mouse,Accessories,Mouse,Epson,138035.38,17477.67
PROD00277,Asus Keyboard,Accessories,Mouse,Logitech,74752.5,49039.22
PROD00278,Canon Audio,Electronics,Computers,HP,60356.92,11879.27
PROD00279,Apple Keyboard,Accessories,Keyboard,Epson,90614.53,89943.88
PROD00280,Logitech Scanner,Office Equipment,Printer,HP,69134.52,20199.68
PROD00281,Logitech Audio,Electronics,Mobile,Dell,93337.75,42609.08
PROD00282,Apple Networking,Office Equipment,Scanner,HP,47133.6,58982.75
PROD00283,Dell Scanner,Office Equipment,Printer,Sony,78121.7,59302.66
PROD00284,Dell Keyboard,Accessories,Storage,HP,38361.22,62739.39
PROD00285,Sony Computers,Electronics,Computers,Epson,27638.03,19301.4
PROD00286,HP Printer,Office Equipment,Networking,Dell,128689.6,22031.06
PROD00287,Sony Keyboard,Accessories,Storage,Samsung,30311.48,80725.72
PROD00288,HP Networking,Office Equipment,Scanner,Dell,92703.38,59782.08
PROD00289,Sony Audio,Electronics,Audio,Sony,45910.96,80323.51
PROD00290,Lenovo Keyboard,Accessories,Storage,Apple,124512.86,85613.02
PROD00291,Asus Printer,Office Equipment,Networking,Samsung,139151.11,72050.71
PROD00292,HP Networking,Office Equipment,Networking,Sony,68074.8,64791.15
PROD00293,Logitech Scanner,Office Equipment,Networking,HP,70771.71,33972.58
PROD00294,Lenovo Networking,Office Equipment,Scanner,Sony,92000.49,56188.52
PROD00295,Apple Mobile,Electronics,Computers,Canon,103170.87,43580.42
PROD00296,Samsung Keyboard,Accessories,Keyboard,Sony,3646.46,74306.76
PROD00297,HP Mobile,Electronics,Audio,Epson,7069.55,96184.65
PROD00298,Epson Printer,Office Equipment,Networking,Sony,135061.73,73601.75
PROD00299,Canon Mobile,Electronics,Audio,Dell,72646.29,51390.15
PROD00300,Asus Storage,Accessories,Mouse,Canon,10409.58,43531.59
PROD00301,Epson Networking,Office Equipment,Printer,Logitech,66705.59,6354.81
PROD00302,Apple Keyboard,Accessories,Mouse,Canon,28348.55,89523.97
PROD00303,Canon Scanner,Office Equipment,Scanner,Canon,129269.01,81280.38
PROD00304,Samsung Networking,Office Equipment,Scanner,Asus,5068.13,90387.57
PROD00305,Sony Computers,Electronics,Audio,Logitech,45486.6,5783.09
PROD00306,Dell Computers,Electronics,Computers,Canon,10428.6,36574.8
PROD00307,Canon Mobile,Electronics,Computers,Canon,75725.28,55808.48
PROD00308,Epson Computers,Electronics,Mobile,Dell,97439.63,55002.2
PROD00309,Dell Mobile,Electronics,Computers,Asus,87054.74,55635.22
PROD00310,Logitech Scanner,Office Equipment,Networking,Asus,135282.08,17998.73
PROD00311,Lenovo Mouse,Accessories,Mouse,Dell,110631.47,90108.95
PROD00312,Asus Mouse,Accessories,Mouse,Canon,10610.16,62360.23
PROD00313,Samsung Keyboard,Accessories,Keyboard,Samsung,56063.49,98518.41
PROD00314,Canon Audio,Electronics,Audio,Lenovo,63014.6,42752.82
PROD00315,Samsung Scanner,Office Equipment,Networking,Logitech,116196.38,40339.7
PROD00316,Apple Mobile,Electronics,Mobile,Epson,115103.75,65917.76
PROD00317,Logitech Scanner,Office Equipment,Scanner,Sony,122578.1,8474.12
PROD00318,Sony Printer,Office Equipment,Printer,Samsung,48566.35,23305.72
PROD00319,Epson Audio,Electronics,Mobile,Canon,120573.91,39788.1
PROD00320,Logitech Networking,Office Equipment,Printer,Logitech,81665.34,59944.88
PROD00321,Apple Printer,Office Equipment,Printer,Logitech,106638.29,14994.94
PROD00322,Apple Storage,Accessories,Storage,Sony,50336.25,26697.82
PROD00323,Lenovo Computers,Electronics,Audio,Dell,51816.14,2102.95
PROD00324,Samsung Storage,Accessories,Mouse,Samsung,66247.35,53332.53
PROD00325,Canon Mouse,Accessories,Keyboard,Lenovo,149439.27,17990.27
PROD00326,Asus Mouse,Accessories,Mouse,Epson,119741.14,22880.95
PROD00327,Sony Scanner,Office Equipment,Networking,Sony,126644.83,88058.22
PROD00328,Lenovo Audio,Electronics,Mobile,Sony,71923.64,79472.92
PROD00329,Apple Audio,Electronics,Audio,Canon,2674.81,95233.56
PROD00330,Logitech Keyboard,Accessories,Mouse,Apple,148543.73,21132.65
PROD00331,Dell Scanner,Office Equipment,Networking,Canon,62869.78,54179.0
PROD00332,Canon Storage,Accessories,Storage,Apple,31718.47,22749.24
PROD00333,Sony Networking,Office Equipment,Printer,Sony,84528.31,5291.09
PROD00334,Asus Mouse,Accessories,Storage,Lenovo,18948.68,11021.98
PROD00335,HP Networking,Office Equipment,Networking,HP,9661.76,85007.94
PROD00336,Epson Audio,Electronics,Mobile,Samsung,116618.16,55651.07
PROD00337,Apple Scanner,Office Equipment,Printer,Epson,68579.41,22470.23
PROD00338,Canon Mouse,Accessories,Storage,Samsung,107401.85,12482.37
PROD00339,Samsung Mobile,Electronics,Computers,Apple,5828.92,21430.11
PROD00340,HP Computers,Electronics,Audio,Apple,48419.29,18631.87
PROD00341,Canon Mouse,Accessories,Storage,Lenovo,146960.32,67898.81
PROD00342,Dell Mouse,Accessories,Keyboard,Dell,82701.32,89216.14
PROD00343,Epson Printer,Office Equipment,Networking,Apple,108143.96,12021.14
PROD00344,Epson Mouse,Accessories,Mouse,HP,131334.69,97690.52
PROD00345,Apple Mobile,Electronics,Mobile,Samsung,85427.85,15130.08
PROD00346,Epson Audio,Electronics,Audio,Asus,110212.91,42731.99
PROD00347,Epson Keyboard,Accessories,Keyboard,Sony,148051.05,96414.92
PROD00348,Apple Keyboard,Accessories,Mouse,Sony,47431.95,61294.94
PROD00349,Epson Mouse,Accessories,Keyboard,Apple,55034.53,73914.66
PROD00350,Epson Storage,Accessories,Keyboard,Samsung,50779.59,6212.55
PROD00351,Epson Printer,Office Equipment,Networking,HP,114082.85,11627.0
PROD00352,Asus Computers,Electronics,Computers,Logitech,63668.18,62694.76
PROD00353,HP Networking,Office Equipment,Printer,Lenovo,90144.69,91904.01
PROD00354,Apple Audio,Electronics,Audio,Logitech,129177.32,67333.51
PROD00355,Lenovo Storage,Accessories,Storage,Canon,118337.1,45278.74
PROD00356,Canon Computers,Electronics,Computers,Sony,117635.89,4989.57
PROD00357,Lenovo Audio,Electronics,Audio,HP,99619.9,73811.06
PROD00358,Sony Audio,Electronics,Computers,Lenovo,85036.87,46252.61
PROD00359,Sony Storage,Accessories,Keyboard,Apple,108463.19,40821.84
PROD00360,Logitech Storage,Accessories,Mouse,Asus,28381.52,65439.47
PROD00361,Asus Mobile,Electronics,Audio,Lenovo,125487.49,89133.08
