SalesID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,SalesAmount,Discount,Profit
S000065,2025-01-19,CUST06305,PROD03356,13,100536.02,1306968.26,5,235254.29
S000066,2023-07-09,CUST00063,PROD03539,3,31728.85,95186.55,,17133.58
S000067,2025-12-15,CUST02766,PROD02141,7,56401.29,394809.03,10,71065.63
S000068,2025-02-16,CUST07503,PROD03329,6,56695.35,340172.1,,61230.98
S000069,2023-10-18,CUST01597,PROD02239,4,81538.83,326155.32,15,58707.96
S000070,2024-01-15,CUST07437,PROD00234,12,19184.97,230219.64,10,41439.54
S000071,2023-12-23,CUST05824,PROD03495,7,11864.49,83051.43,,14949.26
S000072,2025-05-02,CUST05069,PROD02331,13,46860.38,609184.94,10,109653.29
S000073,2025-02-09,CUST04115,PROD02427,14,37462.08,524469.12,5,94404.44
S000074,2024-06-19,CUST09910,PROD02477,13,56050.79,728660.27,,131158.85
S000075,2025-10-05,CUST02299,PROD01316,2,104271.78,208543.56,,37537.84
S000076,2023-02-02,CUST05944,PROD03212,6,92223.44,553340.64,5,99601.32
S000077,2024-03-04,CUST01135,PROD04347,10,109536.73,1095367.3,0,197166.11
S000078,2024-05-20,CUST03830,PROD02721,10,50258.17,502581.7,,90464.71
S000079,2025-12-01,CUST05488,PROD01621,4,10855.42,43421.68,15,7815.9
S000080,2023-12-30,CUST03025,PROD04454,4,127934.93,511739.72,15,92113.15
S000081,2025-03-14,CUST05048,PROD01714,7,129597.76,907184.32,,163293.18
S000082,2025-10-01,CUST03906,PROD02816,8,77707.91,621663.28,10,111899.39
S000083,2024-05-14,CUST06280,PROD04884,14,83337.66,1166727.24,,210010.9
S000084,2025-12-23,CUST02082,PROD00433,3,20064.71,60194.13,0,10834.94
S000085,2025-01-14,CUST08669,PROD02486,9,115991.97,1043927.73,10,187906.99
S000086,2023-09-17,CUST03876,PROD01759,14,111679.91,1563518.74,15,281433.37
S000087,2023-03-10,CUST08258,PROD01305,1,45161.82,45161.82,,8129.13
S000088,2025-03-17,CUST06169,PROD01142,9,37357.78,336220.02,5,60519.6
S000089,2025-10-04,CUST05526,PROD01888,9,34131.32,307181.88,,55292.74
S000090,2023-08-22,CUST04971,PROD01052,5,38018.56,190092.8,0,34216.7
S000091,2025-02-17,CUST04143,PROD03424,11,102888.94,1131778.34,5,203720.1
S000092,2024-09-16,CUST07638,PROD00146,10,15295.63,152956.3,5,27532.13
S000093,2023-10-15,CUST03981,PROD01834,3,136954.75,410864.25,10,73955.56
S000094,2025-02-01,CUST01374,PROD01272,10,31312.66,313126.6,10,56362.79
S000095,2024-05-29,CUST04692,PROD04302,11,45710.07,502810.77,10,90505.94
S000096,2024-07-27,CUST07185,PROD04052,14,15712.48,219974.72,15,39595.45
S000097,2023-04-07,CUST08810,PROD01535,10,22069.15,220691.5,15,39724.47
S000098,2025-03-24,CUST04506,PROD01739,7,121862.6,853038.2,10,153546.88
S000099,2025-03-05,CUST01462,PROD00713,7,3474.66,24322.62,15,4378.07
S000100,2025-03-21,CUST00060,PROD04587,5,81063.78,405318.9,15,72957.4
S000101,2024-11-21,CUST00335,PROD00959,2,147828.67,295657.34,0,53218.32
S000102,2025-08-22,CUST03804,PROD02995,11,119793.08,1317723.88,10,237190.3
S000103,2023-03-28,CUST06055,PROD02759,10,129154.65,1291546.5,5,232478.37
S000104,2024-05-20,CUST05160,PROD04070,4,139508.13,558032.52,0,100445.85
S000105,2023-09-08,CUST03696,PROD02046,4,141885.92,567543.68,0,102157.86
S000106,2024-08-24,CUST06199,PROD02553,1,80162.43,80162.43,15,14429.24
S000107,2024-01-28,CUST03127,PROD02312,4,21269.82,85079.28,15,15314.27
S000108,2024-04-25,CUST09457,PROD01455,1,8697.4,8697.4,5,1565.53
S000109,2023-08-07,CUST04008,PROD01561,6,121769.64,730617.84,15,131511.21
S000110,2023-04-30,CUST08549,PROD02327,10,26383.41,263834.1,,47490.14
S000111,2025-11-18,CUST01739,PROD02068,5,101181.43,505907.15,10,91063.29
S000112,2025-12-31,CUST01527,PROD02814,4,134331.47,537325.88,10,96718.66
S000113,2025-12-06,CUST04452,PROD04695,13,13192.9,171507.7,15,30871.39
S000114,2024-09-21,CUST00915,PROD02688,2,62132.33,124264.66,0,22367.64
S000115,2024-02-04,CUST03881,PROD03233,8,115224.75,921798.0,5,165923.64
S000116,2025-08-01,CUST03865,PROD03125,4,21592.97,86371.88,5,15546.94
S000117,2024-09-03,CUST07865,PROD02624,6,82906.38,497438.28,,89538.89
S000118,2023-06-04,CUST02504,PROD03590,14,133031.48,1862440.72,15,335239.33
S000119,2025-11-01,CUST03727,PROD00051,9,102494.08,922446.72,5,166040.41
S000120,2023-08-17,CUST03771,PROD00616,5,67722.46,338612.3,10,60950.21
S000121,2023-09-21,CUST07268,PROD00661,14,7345.86,102842.04,,18511.57
S000122,2025-05-22,CUST00250,PROD01529,2,88146.32,176292.64,10,31732.68
S000123,2023-08-09,CUST03239,PROD03222,4,21714.11,86856.44,0,15634.16
S000124,2025-02-11,CUST06867,PROD03238,12,72513.1,870157.2,,156628.3
S000125,2024-08-04,CUST02173,PROD02123,5,17277.48,86387.4,,15549.73
S000126,2025-09-21,CUST08682,PROD02220,2,11190.02,22380.04,10,4028.41
S000127,2024-12-24,CUST00806,PROD00986,11,30352.12,333873.32,5,60097.2
S000128,2023-03-19,CUST01775,PROD00316,6,115103.75,690622.5,,124312.05
S000129,2025-05-15,CUST05711,PROD04040,3,82554.51,247663.53,,44579.44
S000130,2024-11-05,CUST06547,PROD03757,8,104080.44,832643.52,,149875.83
S000131,2024-03-12,CUST07231,PROD03475,12,103491.72,1241900.64,0,223542.12
S000132,2024-05-29,CUST08235,PROD03044,12,7006.14,84073.68,,15133.26
S000133,2023-03-29,CUST03876,PROD01612,10,112979.92,1129799.2,15,203363.86
S000134,2023-08-08,CUST06152,PROD03431,6,138993.67,833962.02,0,150113.16
S000135,2024-07-24,CUST04597,PROD03992,4,145440.6,581762.4,,104717.23
S000136,2023-02-26,CUST09464,PROD01136,10,24273.9,242739.0,0,43693.02
S000137,2023-03-13,CUST00638,PROD03761,2,61556.69,123113.38,,22160.41
S000138,2025-09-15,CUST09520,PROD03497,5,7116.35,35581.75,15,6404.72
S000139,2023-04-03,CUST06218,PROD02541,13,80672.78,1048746.14,15,188774.31
S000140,2024-01-16,CUST00735,PROD03333,12,8723.61,104683.32,15,18843.0
S000141,2025-02-24,CUST02395,PROD00952,8,56115.2,448921.6,15,80805.89
S000142,2025-07-02,CUST07764,PROD00814,12,122511.57,1470138.84,10,264624.99
S000143,2024-09-12,CUST02654,PROD03127,9,144302.84,1298725.56,15,233770.6
S000144,2024-06-20,CUST06288,PROD04843,8,89889.42,719115.36,,129440.76
S000145,2023-10-19,CUST09958,PROD01692,6,19644.0,117864.0,15,21215.52
S000146,2023-01-20,CUST07885,PROD01568,1,143953.35,143953.35,,25911.6
S000147,2024-08-28,CUST08205,PROD03067,4,29988.63,119954.52,,21591.81
S000148,2024-12-15,CUST00077,PROD04724,13,147975.06,1923675.78,10,346261.64
S000149,2024-10-12,CUST08473,PROD04669,9,138984.94,1250864.46,10,225155.6
S000150,2023-06-05,CUST08720,PROD00220,3,71159.77,213479.31,10,38426.28
S000151,2023-03-06,CUST03882,PROD03572,8,976.77,7814.16,,1406.55
S000152,2024-04-23,CUST09844,PROD01342,14,113810.26,1593343.64,0,286801.86
S000153,2024-10-05,CUST08950,PROD04034,13,114050.42,1482655.46,10,266877.98
S000154,2023-04-16,CUST00539,PROD02888,1,98493.87,98493.87,5,17728.9
S000155,2024-02-10,CUST03154,PROD02410,12,98243.05,1178916.6,10,212204.99
S000156,2025-09-16,CUST06318,PROD00141,1,61096.48,61096.48,15,10997.37
S000157,2024-01-01,CUST01722,PROD04660,13,103556.49,1346234.37,,242322.19
S000158,2023-04-13,CUST01881,PROD01019,8,117578.52,940628.16,10,169313.07
S000159,2025-11-28,CUST01458,PROD04052,3,15712.48,47137.44,0,8484.74
S000160,2025-02-25,CUST06003,PROD01873,13,148511.1,1930644.3,15,347515.97
S000161,2024-11-02,CUST09146,PROD04984,13,59485.46,773310.98,10,139195.98
S000162,2023-08-01,CUST07561,PROD00307,7,75725.28,530076.96,,95413.85
S000163,2023-08-05,CUST04914,PROD00057,9,121168.9,1090520.1,0,196293.62
S000164,2023-08-19,CUST04154,PROD01405,6,16706.38,100238.28,15,18042.89
S000165,2023-10-01,CUST00544,PROD03622,12,130719.83,1568637.96,0,282354.83
S000166,2024-05-12,CUST02075,PROD04099,5,109040.98,545204.9,15,98136.88
S000167,2025-12-21,CUST03473,PROD03336,5,127756.29,638781.45,0,114980.66
S000168,2024-02-12,CUST04630,PROD01671,10,18459.6,184596.0,,33227.28
S000169,2024-04-09,CUST03177,PROD02375,8,56892.84,455142.72,,81925.69
S000170,2025-04-04,CUST06153,PROD00068,4,93307.53,373230.12,5,67181.42
S000171,2025-12-08,CUST03441,PROD03817,12,146099.49,1753193.88,10,315574.9
S000172,2024-02-02,CUST06010,PROD01395,12,9268.68,111224.16,15,20020.35
S000173,2025-01-12,CUST06940,PROD03324,14,122670.07,1717380.98,15,309128.58
S000174,2023-05-13,CUST06551,PROD01852,12,79084.76,949017.12,,170823.08
S000175,2024-01-10,CUST06256,PROD03587,2,96913.5,193827.0,15,34888.86
S000176,2024-03-10,CUST05773,PROD03835,11,105946.71,1165413.81,,209774.49
S000177,2024-08-15,CUST04666,PROD00471,7,85502.7,598518.9,0,107733.4
S000178,2023-05-20,CUST09972,PROD00570,7,44135.25,308946.75,15,55610.42
S000179,2023-03-16,CUST02508,PROD03696,6,78780.0,472680.0,0,85082.4
S000180,2023-02-18,CUST05971,PROD03568,13,104445.21,1357787.73,0,244401.79
S000181,2023-04-17,CUST03946,PROD00754,5,131589.74,657948.7,,118430.77
S000182,2024-03-22,CUST09487,PROD00337,2,68579.41,137158.82,5,24688.59
S000183,2023-09-10,CUST04415,PROD01054,8,133846.07,1070768.56,,192738.34
S000184,2024-07-23,CUST02699,PROD01155,6,130634.11,783804.66,0,141084.84
S000185,2023-12-20,CUST01685,PROD04818,1,69019.38,69019.38,10,12423.49
S000186,2023-05-09,CUST02504,PROD01944,5,10741.07,53705.35,0,9666.96
S000187,2023-08-11,CUST08019,PROD03318,1,120003.39,120003.39,15,21600.61
S000188,2023-10-24,CUST03285,PROD02494,13,57055.91,741726.83,0,133510.83
S000189,2023-01-28,CUST05153,PROD03762,8,34789.35,278314.8,0,50096.66
S000190,2025-01-31,CUST09682,PROD04404,8,70373.79,562990.32,,101338.26
S000191,2023-01-16,CUST03674,PROD01468,2,50404.99,100809.98,0,18145.8
S000192,2025-07-24,CUST01672,PROD04066,14,22798.86,319184.04,5,57453.13
S000193,2024-06-06,CUST08546,PROD02076,2,114660.16,229320.32,10,41277.66
S000194,2023-04-03,CUST02569,PROD02245,1,86258.03,86258.03,10,15526.45
S000195,2024-05-16,CUST07799,PROD00816,6,94428.68,566572.08,0,101982.97
S000196,2024-07-07,CUST06521,PROD02301,4,88610.23,354440.92,15,63799.37
S000197,2025-10-25,CUST09655,PROD00768,10,115024.28,1150242.8,0,207043.7
S000198,2023-09-02,CUST01335,PROD03957,2,34513.05,69026.1,15,12424.7
S000199,2024-09-01,CUST05796,PROD04641,2,143072.38,286144.76,,51506.06
S000200,2024-05-01,CUST04964,PROD00891,8,124794.76,998358.08,0,179704.45
S000201,2024-07-16,CUST00640,PROD00143,1,17557.37,17557.37,10,3160.33
S000202,2023-10-02,CUST04189,PROD01753,9,71328.15,641953.35,,115551.6
S000203,2023-09-30,CUST00901,PROD03493,14,54106.79,757495.06,,136349.11
S000204,2023-03-14,CUST03448,PROD01858,10,94837.48,948374.8,0,170707.46
S000205,2023-01-12,CUST09256,PROD01488,10,104377.83,1043778.3,,187880.09
S000206,2023-12-11,CUST06531,PROD03093,10,147368.39,1473683.9,,265263.1
S000207,2024-01-11,CUST00274,PROD04182,3,101355.83,304067.49,0,54732.15
S000208,2024-12-23,CUST09129,PROD03159,1,73131.96,73131.96,0,13163.75
S000209,2025-03-26,CUST09688,PROD02064,5,87081.05,435405.25,15,78372.94
S000210,2025-07-10,CUST01350,PROD00182,6,5951.13,35706.78,10,6427.22
S000211,2024-04-01,CUST04510,PROD03241,4,86671.98,346687.92,5,62403.83
S000212,2025-11-28,CUST09667,PROD02881,10,46798.53,467985.3,,84237.35
S000213,2023-10-31,CUST09273,PROD02111,12,105126.11,1261513.32,15,227072.4
S000214,2025-06-28,CUST09013,PROD03037,6,57064.02,342384.12,5,61629.14
S000215,2023-04-14,CUST00732,PROD04336,11,33152.83,364681.13,,65642.6
S000216,2024-06-18,CUST04873,PROD01822,14,16509.1,231127.4,15,41602.93
S000217,2025-04-06,CUST05669,PROD03383,1,34381.33,34381.33,10,6188.64
S000218,2025-09-28,CUST00787,PROD04604,6,110209.39,661256.34,0,119026.14
S000219,2025-11-06,CUST02831,PROD03199,1,40143.77,40143.77,15,7225.88
S000220,2023-01-27,CUST08309,PROD02949,4,39433.87,157735.48,5,28392.39
S000221,2024-06-22,CUST00958,PROD03459,2,31267.35,62534.7,10,11256.25
S000222,2025-07-24,CUST03492,PROD02666,2,127315.82,254631.64,15,45833.7
S000223,2024-05-10,CUST06258,PROD02388,1,141327.12,141327.12,5,25438.88
S000224,2024-12-19,CUST08856,PROD04931,10,89498.46,894984.6,10,161097.23
S000225,2023-11-06,CUST07632,PROD00579,14,82826.69,1159573.66,5,208723.26
S000226,2025-04-16,CUST05827,PROD03542,13,73397.84,954171.92,,171750.95
S000227,2023-04-10,CUST02062,PROD02037,11,79504.08,874544.88,15,157418.08
S000228,2024-06-26,CUST07683,PROD02659,11,5794.61,63740.71,15,11473.33
S000229,2024-02-17,CUST04644,PROD02207,14,66492.36,930893.04,10,167560.75
S000230,2025-04-18,CUST03333,PROD03563,13,45397.37,590165.81,10,106229.85
S000231,2024-01-16,CUST01329,PROD01191,11,147680.99,1624490.89,,292408.36
S000232,2023-01-17,CUST01264,PROD00899,8,143352.1,1146816.8,0,206427.02
S000233,2023-05-08,CUST02184,PROD04237,6,28901.47,173408.82,0,31213.59
S000234,2025-03-21,CUST03639,PROD04263,13,21549.05,280137.65,10,50424.78
S000235,2025-11-08,CUST09967,PROD02758,9,52649.26,473843.34,15,85291.8
S000236,2024-01-15,CUST04282,PROD04950,1,912.73,912.73,,164.29
S000237,2023-06-01,CUST09476,PROD04019,5,28902.78,144513.9,5,26012.5
S000238,2024-05-19,CUST04153,PROD01699,5,142317.89,711589.45,10,128086.1
S000239,2023-07-24,CUST08651,PROD00631,6,133026.18,798157.08,10,143668.27
S000240,2023-08-21,CUST06310,PROD03444,8,122574.22,980593.76,15,176506.88
S000241,2024-05-21,CUST07326,PROD01187,13,121021.76,1573282.88,15,283190.92
S000242,2023-04-09,CUST08907,PROD03698,11,83135.38,914489.18,15,164608.05
S000243,2024-08-29,CUST05680,PROD01338,7,126385.91,884701.37,5,159246.25
S000244,2023-05-01,CUST00535,PROD04942,9,24910.83,224197.47,5,40355.54
S000245,2025-09-04,CUST02509,PROD03996,5,44899.3,224496.5,0,40409.37
S000246,2025-03-18,CUST06326,PROD00941,13,114551.31,1489167.03,0,268050.07
S000247,2025-03-31,CUST04095,PROD02999,4,19760.4,79041.6,0,14227.49
S000248,2023-03-28,CUST09971,PROD00423,6,95481.09,572886.54,,103119.58
S000249,2024-09-11,CUST08028,PROD01368,7,26521.27,185648.89,10,33416.8
S000250,2024-12-21,CUST04058,PROD02422,13,73164.42,951137.46,10,171204.74
S000251,2024-10-09,CUST00347,PROD00444,1,46833.78,46833.78,15,8430.08
S000252,2023-06-07,CUST06596,PROD02074,10,24891.11,248911.1,,44804.0
S000253,2025-06-01,CUST08538,PROD03464,1,116400.42,116400.42,0,20952.08
S000254,2023-08-19,CUST05585,PROD01405,12,16706.38,200476.56,0,36085.78
S000255,2024-01-16,CUST09590,PROD04682,4,1158.99,4635.96,5,834.47
S000256,2023-07-26,CUST00894,PROD03606,3,18608.63,55825.89,10,10048.66
S000257,2023-12-25,CUST07645,PROD03489,8,62169.11,497352.88,,89523.52
S000258,2025-07-23,CUST07594,PROD01822,11,16509.1,181600.1,,32688.02
S000259,2025-02-09,CUST04109,PROD00434,9,140513.23,1264619.07,0,227631.43
S000260,2023-01-16,CUST02438,PROD00323,7,51816.14,362712.98,,65288.34
S000261,2023-08-22,CUST01323,PROD00812,4,63697.14,254788.56,5,45861.94
S000262,2025-10-28,CUST00325,PROD04959,14,62957.49,881404.86,5,158652.87
S000263,2024-12-24,CUST07003,PROD01833,10,105571.29,1055712.9,15,190028.32
S000264,2024-02-25,CUST00819,PROD00851,5,58548.0,292740.0,0,52693.2
S000265,2023-07-26,CUST05351,PROD02821,6,112616.58,675699.48,15,121625.91
S000266,2023-09-04,CUST03838,PROD00197,6,10554.25,63325.5,5,11398.59
S000267,2024-08-14,CUST05486,PROD03559,5,56677.3,283386.5,15,51009.57
S000268,2025-06-29,CUST05994,PROD03658,10,34137.32,341373.2,0,61447.18
S000269,2024-07-29,CUST05929,PROD03098,8,141272.46,1130179.68,15,203432.34
S000270,2025-01-23,CUST00934,PROD01359,4,71378.7,285514.8,5,51392.66
S000271,2023-02-19,CUST04018,PROD03142,13,105809.83,1375527.79,0,247595.0
S000272,2025-10-16,CUST04037,PROD03386,13,83271.35,1082527.55,,194854.96
S000273,2023-11-13,CUST02863,PROD03848,2,21160.92,42321.84,10,7617.93
S000274,2023-06-23,CUST08880,PROD03539,10,31728.85,317288.5,,57111.93
S000275,2023-06-27,CUST04631,PROD03646,10,51466.4,514664.0,5,92639.52
S000276,2025-08-03,CUST05346,PROD00486,3,27869.43,83608.29,5,15049.49
S000277,2024-12-17,CUST03271,PROD02040,5,109792.2,548961.0,15,98812.98
S000278,2025-04-10,CUST04730,PROD02750,12,119865.3,1438383.6,,258909.05
S000279,2025-12-20,CUST04798,PROD00427,9,94366.65,849299.85,,152873.97
S000280,2025-04-25,CUST08752,PROD01801,7,132877.58,930143.06,5,167425.75
S000281,2024-07-30,CUST03798,PROD02323,2,52811.67,105623.34,,19012.2
S000282,2023-04-13,CUST00075,PROD02007,1,98095.81,98095.81,15,17657.25
S000283,2023-04-18,CUST04102,PROD00877,13,1912.75,24865.75,15,4475.84
S000284,2024-05-28,CUST03052,PROD00646,8,89189.74,713517.92,5,128433.23
S000285,2023-02-12,CUST06242,PROD04473,2,3472.87,6945.74,0,1250.23
S000286,2023-04-02,CUST09746,PROD03311,2,139968.36,279936.72,,50388.61
S000287,2023-09-08,CUST07463,PROD00446,2,115862.29,231724.58,0,41710.42
S000288,2024-04-05,CUST04963,PROD00061,5,102799.12,513995.6,,92519.21
S000289,2025-01-18,CUST06483,PROD04980,8,84524.57,676196.56,10,121715.38
S000290,2024-03-19,CUST02193,PROD02494,7,57055.91,399391.37,0,71890.45
S000291,2024-05-21,CUST04668,PROD01079,6,54330.64,325983.84,5,58677.09
S000292,2024-12-18,CUST06117,PROD03552,4,134353.47,537413.88,,96734.5
S000293,2024-08-07,CUST04566,PROD04389,2,125529.94,251059.88,5,45190.78
S000294,2023-01-14,CUST05859,PROD00629,11,67632.01,743952.11,0,133911.38
S000295,2023-01-03,CUST09339,PROD04907,14,142717.19,1998040.66,,359647.32
S000296,2023-09-02,CUST05369,PROD03848,2,21160.92,42321.84,5,7617.93
S000297,2023-01-21,CUST08518,PROD02594,8,15542.16,124337.28,0,22380.71
S000298,2025-03-08,CUST00122,PROD03827,7,83456.82,584197.74,,105155.59
S000299,2025-07-01,CUST08086,PROD00458,1,54993.04,54993.04,10,9898.75
S000300,2024-08-02,CUST00326,PROD00074,13,64932.4,844121.2,15,151941.82
S000301,2024-06-09,CUST08060,PROD01684,12,124072.47,1488869.64,15,267996.54
S000302,2024-10-24,CUST05385,PROD02872,7,46580.69,326064.83,15,58691.67
S000303,2025-05-10,CUST01478,PROD03052,5,80251.46,401257.3,0,72226.31
S000304,2024-01-28,CUST04121,PROD00917,2,114694.22,229388.44,15,41289.92
S000305,2025-05-15,CUST08090,PROD00585,8,77646.65,621173.2,5,111811.18
S000306,2025-09-20,CUST00370,PROD01004,13,80222.77,1042896.01,0,187721.28
S000307,2023-09-21,CUST00808,PROD03793,14,137933.2,1931064.8,10,347591.66
S000308,2025-12-01,CUST07008,PROD04523,8,60151.57,481212.56,,86618.26
S000309,2023-09-05,CUST05386,PROD04545,7,58789.91,411529.37,0,74075.29
S000310,2024-07-11,CUST03816,PROD04440,9,115403.24,1038629.16,10,186953.25
S000311,2024-12-03,CUST07724,PROD02069,11,139742.36,1537165.96,,276689.87
S000312,2023-12-07,CUST05175,PROD00638,12,65142.1,781705.2,0,140706.94
S000313,2024-08-01,CUST09939,PROD01510,2,88562.11,177124.22,5,31882.36
S000314,2024-11-30,CUST03833,PROD00856,1,138074.2,138074.2,0,24853.36
S000315,2025-12-16,CUST09378,PROD01139,5,116967.33,584836.65,0,105270.6
S000316,2025-03-05,CUST04495,PROD01415,13,14950.42,194355.46,10,34983.98
S000317,2025-07-06,CUST09401,PROD03698,14,83135.38,1163895.32,5,209501.16
S000318,2024-03-11,CUST03602,PROD02565,3,45624.27,136872.81,15,24637.11
S000319,2025-03-26,CUST00283,PROD03319,4,28162.38,112649.52,15,20276.91
S000320,2024-02-04,CUST00605,PROD01576,11,124529.01,1369819.11,10,246567.44
S000321,2025-05-29,CUST02741,PROD03814,6,108196.23,649177.38,15,116851.93
S000322,2023-08-26,CUST02600,PROD02389,5,106320.86,531604.3,,95688.77
S000323,2025-02-20,CUST00890,PROD01193,2,41219.29,82438.58,,14838.94
S000324,2023-06-01,CUST03808,PROD02556,10,76242.77,762427.7,,137236.99
S000325,2024-10-14,CUST07990,PROD00065,13,12525.55,162832.15,5,29309.79
S000326,2023-01-07,CUST08959,PROD04588,11,12886.68,141753.48,,25515.63
S000327,2025-01-09,CUST09618,PROD03719,13,100937.43,1312186.59,0,236193.59
S000328,2025-09-25,CUST09587,PROD00737,9,79969.9,719729.1,10,129551.24
S000329,2023-09-14,CUST03416,PROD00683,12,106359.8,1276317.6,5,229737.17
S000330,2023-03-20,CUST04367,PROD02443,12,95439.46,1145273.52,5,206149.23
S000331,2024-10-17,CUST00031,PROD00033,6,41795.81,250774.86,10,45139.47
