Account_ID,Customer_ID,Branch_Name,Account_Type,Account_Balance,Credit_Card_Usage
41,4149,Hyderabad Branch,Savings,161976.54,227256.27
42,3876,Ahmedabad Branch,Current,1938309.4,112206.0
43,2838,Bangalore Branch,Loan,1711561.55,93702.73
44,2798,Hyderabad Branch,Current,248763.07,75122.35
45,138,Kolkata Branch,Loan,1979358.71,12026.14
46,2761,Pune Branch,Savings,205132.88,78341.09
47,3876,Bangalore Branch,Savings,595579.39,159841.99
48,2925,Pune Branch,Loan,821133.26,102045.18
49,257,Pune Branch,Savings,452660.06,195200.14
50,4850,Bangalore Branch,Current,318354.3,195261.42
51,2886,Chennai Branch,Loan,1286902.17,254274.62
52,595,Ahmedabad Branch,Current,454345.95,253649.09
53,2662,Chennai Branch,Current,1456487.43,111895.69
54,4805,Hyderabad Branch,Current,1322190.62,14267.94
55,469,Kolkata Branch,Current,288954.86,113904.23
56,908,Bangalore Branch,Savings,1403868.66,202348.78
57,271,Ahmedabad Branch,Savings,232848.92,52643.25
58,4729,Hyderabad Branch,Savings,1623645.67,29223.14
59,1477,Chennai Branch,Loan,364903.71,173530.58
60,342,Bangalore Branch,Savings,804798.37,175561.77
61,593,Delhi Central Branch,Loan,1924516.98,205573.06
62,3595,Pune Branch,Loan,1480289.88,4007.11
63,2175,Pune Branch,Savings,1478473.96,74179.89
64,2254,Mumbai Main Branch,Current,1570922.98,281212.01
65,2258,Bangalore Branch,Loan,1023542.61,114177.58
66,1507,Mumbai Main Branch,Savings,940242.2,286630.44
67,780,Kolkata Branch,Current,147181.91,42237.98
68,2791,Delhi Central Branch,Loan,878929.98,238705.67
69,371,Pune Branch,Savings,792524.2,271934.61
70,4352,Pune Branch,Loan,239793.95,143632.11
71,1297,Bangalore Branch,Current,734399.57,17999.84
72,2271,Mumbai Main Branch,Loan,681415.01,111546.4
73,2912,Ahmedabad Branch,Savings,898945.9,167247.82
74,4175,Bangalore Branch,Current,1973169.55,242803.57
75,4461,Pune Branch,Savings,1970668.86,182569.28
76,249,Bangalore Branch,Loan,322123.51,288361.77
77,569,Mumbai Main Branch,Savings,682780.22,48147.66
78,4300,Chennai Branch,Current,99637.91,4708.94
79,4803,Delhi Central Branch,Current,63845.51,137552.85
80,2901,Bangalore Branch,Current,1090742.82,70521.42
81,1805,Hyderabad Branch,Loan,1891476.06,99033.96
82,483,Hyderabad Branch,Loan,1385015.75,50904.58
83,1405,Mumbai Main Branch,Current,1773654.13,6032.86
84,554,Hyderabad Branch,Savings,75142.81,141414.64
85,2739,Pune Branch,Loan,1797439.85,177829.64
86,3694,Ahmedabad Branch,Loan,753668.16,181735.99
87,596,Ahmedabad Branch,Loan,936524.51,181614.71
88,4134,Hyderabad Branch,Loan,1560446.86,159098.47
89,3062,Bangalore Branch,Savings,590455.46,115062.5
90,3064,Mumbai Main Branch,Current,1367717.01,110013.04
91,3236,Delhi Central Branch,Loan,271004.72,106639.42
92,4190,Hyderabad Branch,Savings,1389776.93,19320.27
93,4935,Chennai Branch,Savings,1466467.17,238700.68
94,2199,Bangalore Branch,Savings,1269499.51,8958.71
95,4231,Chennai Branch,Loan,1096824.51,125598.99
96,4917,Kolkata Branch,Current,353231.69,271775.29
97,4594,Hyderabad Branch,Savings,1682665.3,229980.8
98,2613,Bangalore Branch,Current,1689930.57,68383.15
99,350,Bangalore Branch,Savings,671124.35,220586.47
100,4285,Chennai Branch,Current,882329.51,29534.52
101,4210,Chennai Branch,Savings,1603651.14,288208.81
102,3171,Bangalore Branch,Loan,1574412.31,59034.94
103,3248,Mumbai Main Branch,Loan,448228.58,290727.39
104,2642,Mumbai Main Branch,Savings,114896.53,137170.95
105,2764,Kolkata Branch,Loan,1900129.62,74149.04
106,4974,Pune Branch,Current,1892627.08,225304.21
107,4047,Ahmedabad Branch,Current,601084.02,171619.76
108,759,Delhi Central Branch,Loan,509705.93,72697.43
109,1444,Hyderabad Branch,Current,473173.96,125399.17
110,2028,Pune Branch,Current,1533066.37,91287.75
111,4341,Pune Branch,Current,1719868.95,185875.51
112,3485,Kolkata Branch,Savings,745658.16,136253.43
113,771,Bangalore Branch,Savings,1094066.14,233787.12
114,1566,Chennai Branch,Savings,787458.53,76739.14
115,2634,Chennai Branch,Savings,1699763.1,220849.16
116,2559,Delhi Central Branch,Current,268141.21,110528.17
117,3372,Hyderabad Branch,Current,1273489.67,253706.04
118,3954,Bangalore Branch,Current,1905142.06,19666.91
119,1903,Delhi Central Branch,Savings,69518.48,218253.15
120,2983,Hyderabad Branch,Current,1727909.79,297432.3
121,1974,Pune Branch,Savings,1904114.45,139793.56
122,339,Kolkata Branch,Savings,1355814.37,65685.57
123,2444,Ahmedabad Branch,Current,1862251.94,98502.88
124,689,Mumbai Main Branch,Current,1400692.33,132713.2
125,3972,Mumbai Main Branch,Current,1052167.16,165592.33
126,816,Kolkata Branch,Current,1513975.1,250227.98
127,1948,Hyderabad Branch,Savings,1441497.94,112063.96
128,257,Ahmedabad Branch,Loan,1346378.84,160680.66
129,1204,Pune Branch,Current,1855692.4,190718.37
130,700,Kolkata Branch,Loan,1119061.85,204358.58
131,3833,Mumbai Main Branch,Current,527879.09,77645.71
132,4922,Ahmedabad Branch,Current,1203386.11,157154.02
133,4148,Chennai Branch,Current,1075261.51,49317.57
134,4428,Delhi Central Branch,Loan,1195091.99,156247.77
135,1646,Bangalore Branch,Current,560581.11,94292.95
136,3042,Bangalore Branch,Loan,1234531.89,225089.87
137,344,Mumbai Main Branch,Current,1045379.05,197458.98
138,3326,Bangalore Branch,Loan,150614.78,85941.77
139,1559,Kolkata Branch,Current,1236485.38,171167.9
140,4587,Ahmedabad Branch,Loan,1613803.84,162692.39
141,2497,Chennai Branch,Savings,1472162.52,67691.98
142,1400,Pune Branch,Savings,1108063.08,156711.08
143,3899,Ahmedabad Branch,Savings,1459957.89,18231.85
144,3528,Chennai Branch,Loan,278046.63,230817.36
145,1965,Chennai Branch,Savings,1005979.18,15402.03
146,4332,Delhi Central Branch,Savings,1891060.32,91089.72
147,2512,Kolkata Branch,Savings,1662255.96,234729.29
148,1010,Mumbai Main Branch,Savings,1578058.47,299648.78
149,827,Kolkata Branch,Savings,1800098.11,243267.15
150,2290,Hyderabad Branch,Current,1575528.48,288236.59
151,4966,Kolkata Branch,Loan,1001662.0,207513.15
152,3671,Ahmedabad Branch,Loan,458247.78,170926.11
153,3024,Hyderabad Branch,Current,1731049.85,183910.08
154,4675,Pune Branch,Savings,1016176.59,200454.96
155,2165,Bangalore Branch,Current,495681.54,199044.26
156,4843,Ahmedabad Branch,Loan,190164.95,132274.65
157,3785,Kolkata Branch,Savings,201039.14,273658.34
158,4104,Chennai Branch,Loan,498277.35,277659.87
159,4785,Bangalore Branch,Savings,1341431.7,7258.95
160,4628,Delhi Central Branch,Savings,835440.88,197323.39
161,935,Delhi Central Branch,Loan,470271.3,215196.63
162,801,Bangalore Branch,Current,175889.79,114227.09
163,1528,Delhi Central Branch,Savings,1412602.23,262146.8
164,3121,Ahmedabad Branch,Savings,1495126.37,190649.79
165,2268,Hyderabad Branch,Current,1137737.72,243124.59
166,2667,Ahmedabad Branch,Loan,1733810.79,190833.01
167,3188,Ahmedabad Branch,Loan,249236.73,202865.93
168,2353,Kolkata Branch,Savings,1579450.33,90554.64
169,3628,Kolkata Branch,Loan,926215.97,11703.08
170,428,Bangalore Branch,Savings,279479.23,173886.44
171,2435,Pune Branch,Current,87717.45,18333.56
172,2665,Kolkata Branch,Loan,713668.68,209715.72
173,4061,Chennai Branch,Current,866550.81,160381.25
174,812,Bangalore Branch,Savings,1239772.07,289443.56
175,2240,Hyderabad Branch,Savings,1376225.8,260279.44
176,619,Kolkata Branch,Current,716665.9,167827.26
177,4762,Mumbai Main Branch,Savings,1584985.81,273136.5
178,2700,Delhi Central Branch,Savings,264409.97,114716.52
179,4490,Pune Branch,Current,467245.51,195679.42
180,4327,Mumbai Main Branch,Loan,715790.25,161976.14
181,4847,Delhi Central Branch,Current,697519.85,250661.23
182,3224,Pune Branch,Savings,19345.52,27601.35
183,4687,Ahmedabad Branch,Current,1135213.95,102309.5
184,2999,Kolkata Branch,Savings,1719202.63,130644.49
185,348,Kolkata Branch,Current,986826.19,193880.91
186,1014,Kolkata Branch,Loan,942352.89,67969.05
187,2080,Ahmedabad Branch,Current,1365533.77,12040.12
188,1571,Mumbai Main Branch,Current,1051228.66,234026.34
189,1248,Mumbai Main Branch,Current,822469.0,283120.44
190,1822,Hyderabad Branch,Loan,686422.28,83226.17
191,3051,Mumbai Main Branch,Savings,1259845.67,270654.82
192,260,Bangalore Branch,Savings,1340989.49,91692.59
193,4623,Ahmedabad Branch,Savings,1662754.36,163809.02
194,4398,Bangalore Branch,Savings,568479.92,66294.15
195,2383,Ahmedabad Branch,Savings,1067645.84,145927.11
196,4039,Kolkata Branch,Loan,744976.49,169593.1
197,2566,Kolkata Branch,Savings,815361.48,289495.39
198,2072,Pune Branch,Loan,668993.59,270445.36
199,653,Hyderabad Branch,Current,25070.61,84692.51
200,910,Mumbai Main Branch,Current,1514040.7,10747.57
201,420,Pune Branch,Savings,1757868.18,234157.36
202,3968,Bangalore Branch,Current,1725133.14,229110.12
203,2055,Chennai Branch,Current,456882.59,115041.7
204,4104,Kolkata Branch,Loan,919959.4,66052.98
205,217,Pune Branch,Savings,133296.67,131419.86
206,3956,Ahmedabad Branch,Current,1076328.97,58787.79
207,4152,Pune Branch,Loan,663840.77,265898.81
208,1304,Ahmedabad Branch,Current,727680.55,57288.03
209,2628,Kolkata Branch,Loan,128566.07,278329.06
210,797,Hyderabad Branch,Current,575789.55,114653.1
211,2977,Hyderabad Branch,Loan,997160.65,142577.52
212,1087,Delhi Central Branch,Current,240066.26,72665.25
213,2831,Pune Branch,Current,1379220.43,53391.12
214,4286,Pune Branch,Current,290596.8,90163.46
215,2493,Chennai Branch,Current,1393173.2,128170.18
216,4728,Mumbai Main Branch,Savings,1012199.84,45058.41
217,4054,Pune Branch,Current,1317151.83,273748.1
218,343,Chennai Branch,Current,548873.85,240989.9
219,4931,Pune Branch,Loan,290135.54,108748.06
220,2621,Bangalore Branch,Loan,1350837.46,279500.11
221,2011,Bangalore Branch,Current,1528506.3,135552.59
222,3780,Pune Branch,Current,798648.2,242037.84
223,2322,Delhi Central Branch,Current,1296821.52,298598.39
224,124,Mumbai Main Branch,Current,1861148.62,273056.51
225,3385,Delhi Central Branch,Savings,1124197.61,188420.1
226,1845,Mumbai Main Branch,Loan,558295.52,207172.74
227,3172,Kolkata Branch,Loan,161417.64,93903.3
228,629,Mumbai Main Branch,Savings,1593733.42,97630.5
229,1692,Pune Branch,Current,1688919.44,141246.18
230,2319,Ahmedabad Branch,Savings,1170973.66,68971.36
231,4485,Delhi Central Branch,Loan,594909.85,232017.18
232,3572,Mumbai Main Branch,Loan,1401404.09,42284.56
233,2402,Ahmedabad Branch,Loan,1289263.92,293951.41
234,1174,Hyderabad Branch,Savings,142446.81,133867.56
235,1737,Bangalore Branch,Current,648226.61,216912.54
236,3992,Hyderabad Branch,Loan,1208817.62,119767.5
237,4011,Bangalore Branch,Savings,222917.86,264889.76
238,2201,Chennai Branch,Loan,648530.49,76081.35
239,3987,Delhi Central Branch,Current,61645.56,274559.82
240,3050,Mumbai Main Branch,Savings,516843.43,112505.41
241,4480,Chennai Branch,Current,570817.07,25641.24
242,4181,Pune Branch,Savings,1912199.46,183581.4
243,3383,Pune Branch,Savings,78554.52,231866.22
244,4225,Ahmedabad Branch,Loan,913625.33,199707.49
245,4022,Pune Branch,Savings,362560.36,92899.57
246,4253,Mumbai Main Branch,Loan,304112.84,8564.64
247,3718,Kolkata Branch,Savings,1274766.78,240875.57
248,3095,Hyderabad Branch,Current,1991163.58,100524.89
249,2488,Ahmedabad Branch,Loan,1473480.02,86896.88
250,2031,Chennai Branch,Loan,1748777.49,214892.84
251,3916,Pune Branch,Current,538674.35,278205.89
252,4490,Hyderabad Branch,Current,1760466.61,275868.96
253,1301,Bangalore Branch,Loan,879167.84,227859.99
254,1815,Delhi Central Branch,Loan,1364010.87,111101.98
255,4676,Bangalore Branch,Loan,1958543.44,154110.23
256,4433,Bangalore Branch,Current,1561100.72,135128.02
257,4932,Mumbai Main Branch,Savings,989558.01,69352.6
258,2115,Mumbai Main Branch,Loan,538900.9,293321.34
259,3269,Pune Branch,Savings,1482903.32,195739.05
260,2555,Hyderabad Branch,Savings,1091637.48,291514.0
261,1865,Ahmedabad Branch,Savings,1775596.5,278209.28
262,2113,Kolkata Branch,Current,1801704.85,8494.19
263,2246,Hyderabad Branch,Loan,542956.61,235846.46
264,1047,Pune Branch,Loan,538464.72,96931.72
265,1348,Kolkata Branch,Current,1695986.51,284318.65
266,3654,Hyderabad Branch,Savings,449511.51,220533.97
267,2631,Delhi Central Branch,Current,1179643.19,284619.31
268,217,Pune Branch,Current,624575.48,204990.62
269,2902,Pune Branch,Current,1128719.82,275704.25
270,2941,Kolkata Branch,Savings,1339428.97,168841.4
271,278,Pune Branch,Loan,702835.75,278830.42
272,4344,Mumbai Main Branch,Savings,1977924.33,125602.93
273,3262,Bangalore Branch,Current,1490871.64,17756.57
274,228,Kolkata Branch,Loan,1043799.58,67098.01
275,2036,Kolkata Branch,Current,112801.7,104676.1
276,3218,Chennai Branch,Current,349910.22,210448.96
277,1048,Delhi Central Branch,Current,859117.39,292268.84
278,1857,Chennai Branch,Savings,389829.4,229811.89
279,3535,Mumbai Main Branch,Savings,1494862.78,47268.63
280,1698,Bangalore Branch,Loan,102971.19,257744.51
281,789,Hyderabad Branch,Savings,1153288.19,229468.23
282,1218,Kolkata Branch,Current,1394493.31,205619.71
283,3501,Mumbai Main Branch,Current,1080410.07,215745.12
284,4732,Ahmedabad Branch,Loan,984632.38,45592.01
285,4462,Chennai Branch,Loan,792700.31,47441.86
286,4948,Mumbai Main Branch,Loan,1194654.81,2516.27
287,2528,Delhi Central Branch,Savings,441576.35,69176.5
288,4608,Kolkata Branch,Savings,1017937.79,7466.53
289,4987,Pune Branch,Loan,1197600.83,210890.4
290,727,Chennai Branch,Loan,60740.28,258985.85
291,1446,Kolkata Branch,Savings,531897.92,86594.67
292,3823,Bangalore Branch,Savings,1981897.66,170138.64
293,4881,Chennai Branch,Savings,1679196.3,203120.95
294,896,Kolkata Branch,Loan,1611209.75,38216.37
295,689,Delhi Central Branch,Savings,174624.96,85241.99
296,551,Pune Branch,Savings,691955.87,166534.21
297,565,Pune Branch,Loan,566455.41,242670.48
298,494,Bangalore Branch,Loan,1705034.78,25298.82
299,1228,Hyderabad Branch,Current,839785.43,7863.09
300,414,Delhi Central Branch,Savings,625565.84,277427.79
301,3578,Hyderabad Branch,Current,1323612.13,222189.16
302,2868,Mumbai Main Branch,Current,1866428.44,236419.22
303,653,Mumbai Main Branch,Loan,172870.27,48940.19
304,3160,Chennai Branch,Savings,991967.17,39372.37
305,3499,Chennai Branch,Loan,1836048.5,93868.36
306,3665,Delhi Central Branch,Current,717603.09,280594.45
307,3053,Bangalore Branch,Savings,1208778.1,47354.45
308,2430,Delhi Central Branch,Savings,1349591.57,237050.02
309,2935,Kolkata Branch,Savings,61540.41,16160.51
310,2592,Delhi Central Branch,Savings,1495018.3,183459.25
311,3244,Hyderabad Branch,Current,1858451.86,239496.74
312,4503,Bangalore Branch,Savings,1465837.58,23493.84
313,3833,Mumbai Main Branch,Savings,1902702.5,164807.89
314,478,Mumbai Main Branch,Loan,242969.37,107331.08
315,1751,Chennai Branch,Savings,1253447.0,96265.89
316,471,Mumbai Main Branch,Loan,693650.36,44155.86
317,2217,Kolkata Branch,Loan,1699287.07,105547.2
318,2216,Kolkata Branch,Savings,960501.96,282723.06
319,4725,Pune Branch,Current,1595060.27,227466.84
320,3887,Bangalore Branch,Savings,1341711.88,93807.47
321,3753,Ahmedabad Branch,Loan,235582.47,200547.68
322,992,Kolkata Branch,Loan,998323.39,66772.87
323,1291,Ahmedabad Branch,Loan,49387.1,30498.45
324,1858,Ahmedabad Branch,Loan,1148738.15,95861.29
325,562,Hyderabad Branch,Savings,750861.43,10885.53
326,3698,Ahmedabad Branch,Current,561540.01,182297.09
327,1270,Pune Branch,Savings,1516106.81,294611.26
328,218,Chennai Branch,Loan,1129646.57,63277.2
329,331,Mumbai Main Branch,Loan,1080670.72,276350.29
330,2752,Hyderabad Branch,Savings,311967.95,127014.87
331,1057,Bangalore Branch,Current,448587.73,207490.47
332,2270,Chennai Branch,Current,960439.02,91837.31
333,4716,Pune Branch,Current,603002.15,166935.6
334,1540,Kolkata Branch,Current,446189.75,256586.01
335,3642,Chennai Branch,Current,1087364.48,10706.31
336,2654,Kolkata Branch,Current,1388475.41,43564.08
337,1798,Hyderabad Branch,Current,1470491.57,271103.58
338,3359,Kolkata Branch,Loan,687422.6,195256.09
339,1726,Bangalore Branch,Current,941975.06,298691.52
340,3562,Mumbai Main Branch,Loan,454883.57,32698.01
341,3816,Chennai Branch,Savings,1609777.7,33767.29
342,3165,Kolkata Branch,Savings,512096.36,62318.09
343,4622,Ahmedabad Branch,Loan,445761.61,193469.2
344,3648,Hyderabad Branch,Loan,1079098.37,70437.95
345,887,Ahmedabad Branch,Loan,151087.68,42878.58
346,1131,Ahmedabad Branch,Current,1998988.24,222662.08
347,1723,Mumbai Main Branch,Loan,333937.09,83050.17
348,2831,Delhi Central Branch,Current,1952813.75,273177.26
349,4447,Mumbai Main Branch,Current,641289.65,281841.25
350,2107,Ahmedabad Branch,Current,89160.3,66812.88
351,2486,Kolkata Branch,Savings,718060.73,119074.55
352,4520,Ahmedabad Branch,Savings,609778.57,182228.77
353,4721,Delhi Central Branch,Loan,442096.98,220632.07
354,223,Chennai Branch,Loan,1243497.3,226877.54
355,465,Delhi Central Branch,Loan,1805933.16,135572.91
356,2392,Chennai Branch,Current,88310.37,290536.76
357,2423,Kolkata Branch,Current,1598068.1,244763.5
358,1840,Chennai Branch,Savings,360343.17,3818.22
359,834,Ahmedabad Branch,Loan,1389031.15,26853.01
360,3675,Bangalore Branch,Loan,190268.93,18379.56
361,2289,Pune Branch,Current,1834519.38,211183.42
362,4694,Chennai Branch,Loan,1523098.3,273578.21
363,3584,Hyderabad Branch,Savings,1615939.96,269218.36
364,3968,Ahmedabad Branch,Savings,1701423.92,113035.68
365,3140,Ahmedabad Branch,Current,1197555.8,273000.99
366,2738,Pune Branch,Current,562621.39,282983.07
367,3470,Mumbai Main Branch,Loan,754394.61,272456.67
368,536,Bangalore Branch,Current,739103.1,285941.23
369,1401,Hyderabad Branch,Current,195416.63,212187.28
370,1516,Mumbai Main Branch,Loan,1245825.92,54302.2
371,4619,Pune Branch,Loan,1387815.78,256925.22
372,4138,Hyderabad Branch,Savings,1729497.44,32369.05
373,1128,Ahmedabad Branch,Savings,1856377.85,186838.02
374,3884,Ahmedabad Branch,Savings,1060798.07,19275.05
375,3621,Pune Branch,Loan,1080421.28,283106.9
376,1318,Ahmedabad Branch,Current,200113.33,122128.96
377,1796,Hyderabad Branch,Savings,330109.88,248490.65
378,2724,Ahmedabad Branch,Current,1895522.61,182146.66
379,4870,Pune Branch,Savings,7267.76,252574.22
380,4650,Ahmedabad Branch,Current,1429307.76,195213.7
381,3536,Chennai Branch,Current,1539775.42,73973.78
382,3259,Pune Branch,Current,753533.44,156824.43
383,4114,Hyderabad Branch,Savings,652239.84,34349.09
384,2342,Bangalore Branch,Current,1686483.58,25880.84
385,794,Delhi Central Branch,Savings,1684825.42,125146.96
386,4162,Ahmedabad Branch,Savings,472964.38,161039.09
387,2996,Ahmedabad Branch,Loan,1739746.3,248483.27
388,3828,Ahmedabad Branch,Savings,1722285.24,53560.9
389,818,Hyderabad Branch,Loan,28081.75,130867.92
390,3620,Kolkata Branch,Current,1282621.43,42510.82
391,888,Chennai Branch,Loan,1503522.25,51803.96
392,2234,Ahmedabad Branch,Current,1926938.49,134832.17
393,3521,Pune Branch,Loan,856346.85,109772.46
394,4814,Bangalore Branch,Savings,533303.99,107960.45
395,2216,Chennai Branch,Current,1399371.49,181466.67
396,2955,Bangalore Branch,Savings,336650.68,172182.63
397,2410,Chennai Branch,Savings,1696004.8,75151.77
398,3009,Bangalore Branch,Loan,1148851.55,146203.4
399,2012,Pune Branch,Savings,1402098.34,273250.1
400,2854,Mumbai Main Branch,Savings,45601.36,265191.99
401,3373,Chennai Branch,Current,1118440.79,240174.89
402,4628,Pune Branch,Current,1553389.68,25340.88
403,1050,Mumbai Main Branch,Current,1326751.3,61388.08
404,3251,Chennai Branch,Savings,98688.11,142823.57
405,2026,Chennai Branch,Savings,1277098.89,93837.55
406,4432,Hyderabad Branch,Savings,1861474.97,42257.87
407,208,Pune Branch,Current,640640.71,108490.2
408,2031,Bangalore Branch,Current,1413512.63,10556.32
409,565,Ahmedabad Branch,Current,393325.25,265499.87
410,26,Mumbai Main Branch,Savings,473122.7,173684.37
411,3532,Mumbai Main Branch,Current,1754665.01,239054.1
412,2439,Delhi Central Branch,Current,287300.39,97197.07
413,11,Ahmedabad Branch,Current,643142.85,160603.43
414,1176,Chennai Branch,Loan,1660001.52,154470.65
415,1362,Bangalore Branch,Savings,1103042.63,168389.02
416,2217,Hyderabad Branch,Loan,325147.01,218255.26
417,4248,Ahmedabad Branch,Current,671362.56,6543.51
418,4295,Delhi Central Branch,Savings,1607388.6,118827.94
419,349,Hyderabad Branch,Savings,699198.15,191184.61
420,3341,Pune Branch,Loan,388449.24,1347.05
421,2235,Kolkata Branch,Savings,905026.55,102878.52
422,2659,Delhi Central Branch,Savings,1733237.68,91723.37
423,1463,Pune Branch,Current,1721461.61,250823.94
424,4651,Bangalore Branch,Savings,1180482.8,228563.69
425,2616,Mumbai Main Branch,Savings,724118.31,156716.62
426,634,Mumbai Main Branch,Loan,545115.65,293289.2
427,4908,Chennai Branch,Current,85339.28,101554.84
428,167,Kolkata Branch,Loan,1641618.52,114341.76
429,442,Hyderabad Branch,Savings,1355812.04,16237.54
430,2711,Hyderabad Branch,Current,901252.85,169617.89
431,2578,Hyderabad Branch,Loan,97982.68,50081.02
432,3824,Mumbai Main Branch,Savings,1344183.01,288411.39
433,2345,Ahmedabad Branch,Current,1624977.36,230827.93
434,3113,Pune Branch,Current,1909264.15,157831.41
435,942,Hyderabad Branch,Savings,1785788.93,15881.03
436,4488,Delhi Central Branch,Savings,1127501.37,295031.44
437,1742,Delhi Central Branch,Loan,255636.53,216473.59
438,1442,Pune Branch,Current,897900.63,98538.47
439,3555,Mumbai Main Branch,Current,914784.37,170018.67
440,3220,Pune Branch,Current,15826.05,257371.06
441,3210,Kolkata Branch,Loan,1552860.67,182053.92
442,2491,Ahmedabad Branch,Loan,1232598.69,85249.83
443,2077,Kolkata Branch,Loan,1014568.52,220160.37
444,3430,Mumbai Main Branch,Loan,961343.4,258470.39
445,561,Chennai Branch,Loan,330325.25,255891.61
446,4608,Mumbai Main Branch,Loan,1069753.81,289477.72
447,4737,Ahmedabad Branch,Savings,298616.5,259527.43
448,1559,Delhi Central Branch,Current,413042.92,282678.16
449,2353,Ahmedabad Branch,Savings,1092147.91,183430.69
450,1572,Chennai Branch,Current,1830549.85,170251.88
451,4785,Hyderabad Branch,Savings,1486840.36,54340.15
452,4291,Chennai Branch,Savings,1229418.37,69630.46
453,2651,Mumbai Main Branch,Savings,1377978.81,168832.27
454,1536,Chennai Branch,Savings,1054507.27,33553.63
455,2465,Hyderabad Branch,Loan,352285.29,165966.46
456,4674,Chennai Branch,Current,759440.5,297227.2
457,6,Bangalore Branch,Current,1788940.03,190803.15
458,3932,Chennai Branch,Loan,1419946.86,8624.44
459,4603,Ahmedabad Branch,Loan,1122342.04,50890.85
460,2355,Bangalore Branch,Savings,1925502.35,192634.96
461,4504,Mumbai Main Branch,Savings,614204.22,243528.59
462,1151,Kolkata Branch,Current,518544.83,241731.4
463,3590,Bangalore Branch,Current,1891646.97,65786.56
464,4220,Delhi Central Branch,Current,1591487.67,78294.74
465,1554,Hyderabad Branch,Savings,542911.75,193830.72
466,4830,Bangalore Branch,Current,1665992.55,16270.37
467,666,Delhi Central Branch,Loan,1975284.54,87580.46
468,2491,Delhi Central Branch,Loan,1456893.51,186147.44
469,2141,Mumbai Main Branch,Savings,519781.65,208176.76
470,3437,Bangalore Branch,Savings,1619181.58,76783.04
471,3091,Pune Branch,Current,703763.69,175544.08
472,2854,Ahmedabad Branch,Current,810526.65,4014.04
473,3016,Delhi Central Branch,Loan,1661880.74,13686.27
474,3009,Bangalore Branch,Current,643088.25,249559.27
475,52,Chennai Branch,Current,38581.81,255630.57
476,666,Bangalore Branch,Savings,503575.76,102510.48
477,4007,Hyderabad Branch,Current,1380677.69,213256.06
478,3279,Ahmedabad Branch,Current,1169265.85,169572.76
479,4792,Chennai Branch,Loan,308820.16,66310.45
480,138,Mumbai Main Branch,Savings,52849.4,83475.3
481,1014,Bangalore Branch,Loan,723549.96,294349.81
482,2102,Ahmedabad Branch,Current,1534823.27,66714.81
483,22,Hyderabad Branch,Loan,55041.13,88794.27
484,3508,Bangalore Branch,Current,662054.5,155654.5
485,1069,Kolkata Branch,Current,796030.07,107238.04
486,4849,Chennai Branch,Savings,1427750.46,274105.35
487,1398,Ahmedabad Branch,Savings,1023031.86,258532.77
488,1415,Delhi Central Branch,Loan,1257488.16,122269.59
489,3110,Ahmedabad Branch,Loan,1726243.21,191471.88
490,3155,Chennai Branch,Current,1169513.9,282450.37
