Transaction_ID,Account_ID,Transaction_Date,Transaction_Amount,Transaction_Type
338,4286,2026-03-28,60681.93,Credit
339,4603,2025-09-09,108777.96,Debit
340,1402,2025-06-09,115477.27,Debit
341,726,2025-03-10,2195.08,Credit
342,2315,2024-08-06,187565.86,Debit
343,3108,2024-12-31,249539.26,Credit
344,3333,2025-05-18,192357.19,Debit
345,1748,2026-01-10,198399.31,Credit
346,3091,2025-11-25,13889.32,Debit
347,3299,2025-01-07,149949.8,Credit
348,574,2025-05-18,89026.68,Debit
349,2063,2025-06-06,102734.97,Debit
350,1687,2025-03-06,177692.48,Debit
351,706,2025-10-25,116332.84,Credit
352,421,2024-08-03,189438.48,Credit
353,1313,2025-04-26,78985.41,Credit
354,1190,2024-10-29,117219.19,Debit
355,2327,2024-06-16,77232.15,Credit
356,1778,2024-11-05,231264.77,Credit
357,1851,2025-04-03,140524.5,Credit
358,2700,2025-02-01,23430.96,Credit
359,2800,2024-07-29,52837.58,Debit
360,4469,2025-12-02,44015.52,Debit
361,2090,2024-11-22,103431.54,Debit
362,3829,2024-10-11,155729.67,Credit
363,1948,2024-06-19,116628.03,Debit
364,899,2026-04-13,99126.63,Credit
365,4526,2025-05-23,165988.43,Debit
366,3992,2024-09-04,215736.9,Credit
367,302,2024-10-21,50407.72,Debit
368,403,2025-12-16,74589.35,Credit
369,4264,2024-10-06,128996.22,Debit
370,2796,2025-11-22,75534.13,Debit
371,3565,2026-03-22,232409.63,Debit
372,956,2024-07-23,101329.63,Debit
373,3669,2026-01-05,70754.46,Credit
374,4892,2026-02-05,155332.48,Debit
375,678,2024-08-20,44360.33,Credit
376,3481,2025-07-23,105644.64,Debit
377,4435,2025-10-02,153259.21,Credit
378,3706,2024-11-03,175375.56,Debit
379,4246,2025-07-14,79608.98,Credit
380,3617,2025-08-20,233242.76,Credit
381,1030,2025-05-03,39970.54,Credit
382,4634,2025-08-24,25600.99,Debit
383,3371,2025-06-23,242602.72,Debit
384,3525,2024-12-28,17974.18,Credit
385,3667,2024-12-16,95152.02,Credit
386,748,2025-12-10,90905.83,Credit
387,283,2025-12-06,245793.88,Debit
388,3378,2026-03-07,191208.75,Credit
389,4736,2025-09-23,132237.71,Debit
390,1653,2025-10-17,164564.97,Credit
391,1091,2025-03-20,48440.52,Debit
392,2528,2024-10-11,164794.72,Debit
393,2261,2024-08-24,190140.61,Credit
394,1149,2026-05-10,114726.29,Credit
395,3329,2026-03-26,243667.6,Debit
396,2530,2025-11-14,160843.56,Credit
397,1454,2026-04-29,156429.76,Credit
398,4313,2025-08-17,233877.89,Credit
399,956,2026-04-26,118287.83,Debit
400,1212,2025-01-02,142395.06,Credit
401,2635,2025-01-18,164295.83,Debit
402,166,2025-07-25,196047.14,Debit
403,4836,2026-02-07,36677.91,Debit
404,4285,2026-03-12,134520.23,Debit
405,4835,2024-09-28,95929.14,Debit
406,3735,2025-03-15,109088.34,Debit
407,483,2024-11-16,55220.98,Debit
408,1492,2024-09-11,160431.32,Credit
409,2953,2024-09-28,12021.21,Debit
410,3354,2025-05-22,215398.7,Debit
411,1432,2025-04-07,155651.31,Credit
412,1798,2024-12-24,183644.24,Credit
413,1454,2026-01-10,97845.64,Credit
414,2509,2025-11-14,245903.35,Credit
415,3107,2025-01-28,214393.44,Debit
416,338,2024-07-02,40381.05,Credit
417,3332,2025-07-05,111882.26,Debit
418,832,2024-09-17,76825.77,Debit
419,2503,2025-03-31,197475.41,Credit
420,3123,2024-07-29,99388.56,Debit
421,1738,2026-02-27,7746.88,Debit
422,4812,2025-07-06,178822.42,Debit
423,3891,2024-06-12,78393.04,Credit
424,151,2025-01-20,158280.09,Debit
425,2154,2025-07-28,31251.45,Credit
426,3820,2025-09-19,202929.56,Credit
427,603,2025-03-25,120677.37,Credit
428,713,2026-02-01,59326.38,Credit
429,2697,2025-10-11,125849.09,Debit
430,306,2024-10-13,236837.21,Credit
431,2066,2026-05-07,161439.13,Debit
432,4064,2024-08-06,153012.77,Debit
433,2819,2025-05-12,11735.9,Debit
434,628,2024-06-28,215786.02,Debit
435,3549,2026-01-22,125172.8,Credit
436,3484,2025-07-28,148222.28,Credit
437,1854,2025-11-10,149004.25,Credit
438,3463,2026-03-28,194297.59,Credit
439,2777,2024-05-13,8609.03,Credit
440,3634,2025-02-06,44807.23,Debit
441,1347,2025-02-09,197905.79,Debit
442,4319,2024-08-07,176499.19,Debit
443,3967,2024-08-15,84559.47,Debit
444,2370,2025-12-13,226848.27,Debit
445,4549,2026-03-12,104485.42,Credit
446,3375,2025-03-05,124608.55,Debit
447,4611,2024-09-27,76579.76,Credit
448,382,2024-08-21,41092.16,Credit
449,2171,2024-10-12,135102.83,Debit
450,1626,2024-09-17,15980.47,Credit
451,1721,2024-11-08,31180.01,Debit
452,2373,2026-01-21,117003.24,Debit
453,1330,2024-11-01,202772.16,Debit
454,2243,2025-10-14,40549.86,Debit
455,386,2026-04-07,229326.71,Credit
456,2126,2024-08-30,161596.88,Debit
457,2428,2024-12-18,135076.48,Credit
458,1278,2025-02-12,84712.23,Debit
459,2000,2025-12-09,179719.44,Debit
460,4651,2025-02-09,27944.75,Debit
461,4371,2024-08-07,243424.13,Debit
462,1842,2024-09-11,215308.62,Debit
463,485,2025-11-24,249928.29,Credit
464,3422,2026-03-06,113324.2,Debit
465,3735,2025-05-22,132579.79,Credit
466,892,2026-04-07,84581.28,Debit
467,727,2026-02-27,44511.02,Debit
468,2193,2026-03-14,211667.95,Debit
469,878,2024-09-08,239233.81,Debit
470,3752,2024-08-31,96410.39,Debit
471,4527,2025-09-02,80996.79,Credit
472,3471,2026-03-22,241392.8,Debit
473,863,2025-08-29,124954.39,Debit
474,1719,2026-02-17,138456.39,Debit
475,1280,2024-06-24,220384.02,Debit
476,4692,2024-06-13,3141.84,Credit
477,294,2026-03-04,31416.37,Debit
478,1012,2025-12-11,145517.62,Credit
479,1877,2025-07-30,119899.12,Credit
480,1578,2025-05-18,119191.16,Debit
481,2025,2024-06-01,239388.97,Credit
482,2792,2026-03-29,245223.71,Credit
483,3823,2025-09-26,204421.31,Credit
484,916,2024-05-13,62642.56,Debit
485,801,2025-12-23,234317.59,Credit
486,2548,2026-01-27,51525.31,Debit
487,3753,2025-11-04,241132.47,Credit
488,4138,2024-05-16,136920.66,Debit
489,872,2024-11-03,69908.85,Debit
490,677,2024-10-22,53467.42,Credit
491,3014,2025-04-17,56392.12,Debit
492,1530,2026-04-24,218556.1,Credit
493,2201,2024-11-04,49250.24,Debit
494,742,2024-07-10,167115.68,Debit
495,4017,2025-07-27,40421.88,Debit
496,113,2025-12-11,59543.65,Debit
497,4203,2026-04-13,233879.75,Debit
498,4815,2024-05-30,233756.21,Debit
499,2813,2024-12-22,129511.21,Credit
500,2922,2025-03-31,22822.55,Debit
501,2696,2026-05-01,8335.14,Debit
502,773,2025-12-13,230451.66,Credit
503,651,2025-10-08,75324.69,Credit
504,2867,2024-09-12,154337.59,Credit
505,1910,2026-03-14,93148.31,Credit
506,1129,2025-01-30,169141.1,Credit
507,2532,2025-07-24,50061.16,Debit
508,3947,2025-05-12,53845.82,Debit
509,2067,2025-03-06,162013.49,Credit
510,2576,2026-03-15,53179.14,Credit
511,4792,2026-02-02,112763.4,Debit
512,3973,2024-08-08,230608.44,Debit
513,2153,2026-02-15,245244.82,Debit
514,3603,2025-11-07,139894.92,Debit
515,617,2026-02-26,211531.76,Debit
516,4578,2024-10-09,171796.41,Credit
517,4346,2024-08-07,134007.12,Debit
518,442,2025-09-24,246467.56,Debit
519,3621,2025-01-07,4343.9,Debit
520,1676,2026-01-15,102070.86,Debit
521,471,2024-12-06,43377.92,Credit
522,934,2026-01-04,136913.95,Credit
523,1178,2025-03-13,159215.64,Credit
524,2286,2025-05-03,208256.5,Credit
525,671,2025-09-23,203849.2,Debit
526,4316,2024-08-25,203020.18,Debit
527,4647,2026-04-01,197245.51,Credit
528,544,2025-07-04,188785.47,Debit
529,1841,2025-02-21,53423.77,Credit
530,4702,2025-12-30,61172.56,Credit
531,3448,2024-09-18,55846.06,Credit
532,1554,2025-09-05,245976.15,Credit
533,1790,2025-11-07,14975.4,Credit
534,633,2026-04-10,216902.76,Debit
535,4785,2025-12-18,235770.32,Debit
536,734,2025-01-16,147442.96,Debit
537,2914,2025-01-28,90741.32,Debit
538,4750,2024-07-13,139427.31,Credit
539,2123,2026-01-10,19250.03,Debit
540,4863,2024-09-30,177821.57,Credit
541,4370,2025-06-27,13887.26,Debit
542,3311,2025-06-10,216164.03,Credit
543,802,2025-09-09,150937.46,Debit
544,3962,2025-11-25,120443.2,Debit
545,1286,2025-08-14,194203.35,Credit
546,4807,2026-04-24,227211.91,Debit
547,765,2025-11-26,163580.87,Debit
548,2333,2025-01-03,165126.17,Credit
549,2402,2025-01-01,103143.96,Debit
550,1918,2024-10-07,41700.0,Credit
551,1382,2025-02-10,7285.43,Credit
552,2656,2025-08-08,116377.16,Debit
553,920,2025-04-11,19683.67,Credit
554,2604,2025-01-31,36611.07,Debit
555,2634,2026-05-12,52095.63,Credit
556,35,2025-05-24,220710.32,Debit
557,4551,2025-10-31,43369.7,Credit
558,1418,2025-06-25,151715.76,Credit
559,4166,2024-10-11,128565.99,Credit
560,331,2025-11-02,65987.69,Debit
561,2222,2025-10-17,26483.87,Credit
562,1167,2026-02-09,178938.95,Credit
563,2349,2025-11-11,81639.92,Credit
564,2229,2024-08-29,34318.25,Credit
565,1794,2026-03-01,165225.59,Debit
566,4396,2025-09-08,38199.53,Debit
567,3444,2025-09-24,182938.52,Credit
568,1562,2025-07-17,61749.47,Credit
569,2176,2025-11-05,208485.27,Credit
570,1005,2026-02-27,137327.06,Debit
571,1016,2024-07-14,89987.61,Debit
572,2083,2026-04-19,108479.11,Debit
573,418,2025-07-30,75205.78,Debit
574,2463,2024-11-08,222134.06,Debit
575,4543,2026-02-18,73879.05,Debit
576,955,2025-02-02,18308.2,Debit
577,1093,2024-06-22,242705.27,Credit
578,363,2026-01-20,10144.35,Credit
579,3159,2024-11-21,44304.21,Credit
580,80,2026-01-21,246884.06,Credit
581,4908,2025-11-23,194637.92,Credit
582,2961,2024-07-14,236715.75,Credit
583,4994,2024-12-23,145128.19,Credit
584,2683,2025-01-14,22937.92,Credit
585,89,2025-05-14,44620.38,Debit
586,971,2026-04-24,212382.54,Debit
587,1282,2025-09-04,18650.61,Debit
588,735,2025-07-18,7263.06,Credit
589,1303,2024-10-08,234796.17,Credit
590,1470,2024-09-13,178615.14,Credit
591,4244,2024-10-25,100288.18,Debit
592,4739,2025-07-27,249533.47,Debit
593,2876,2024-12-03,128340.58,Credit
594,3483,2024-09-22,34343.25,Debit
595,1956,2024-12-20,179842.78,Debit
596,2533,2025-05-06,233956.34,Debit
597,476,2025-07-24,77953.44,Debit
598,2937,2024-08-31,216488.12,Debit
599,2019,2025-04-18,243470.03,Credit
600,3232,2025-07-05,159857.17,Debit
601,3248,2026-02-05,38153.49,Credit
602,4358,2025-06-27,6240.06,Credit
603,4308,2025-01-31,235210.61,Credit
604,4889,2025-09-18,151771.68,Debit
605,3687,2026-04-03,84956.64,Credit
606,1926,2024-11-28,211847.25,Debit
607,1763,2024-10-24,54420.6,Debit
608,2740,2024-09-13,248855.9,Credit
609,3052,2026-05-02,112432.3,Debit
610,4879,2024-10-13,52340.98,Credit
611,3173,2025-07-14,88156.71,Credit
612,4409,2026-03-03,183246.97,Credit
613,224,2026-03-21,246708.75,Credit
614,4452,2026-02-15,193505.91,Debit
615,2150,2025-01-17,143565.34,Debit
616,4680,2026-01-13,208899.63,Debit
617,2661,2024-08-06,211040.2,Credit
618,4324,2026-04-20,169005.17,Credit
619,342,2026-04-06,41900.81,Credit
620,3880,2026-04-19,52117.29,Debit
621,3222,2025-12-30,67851.91,Credit
622,2539,2024-09-10,106910.8,Credit
623,548,2024-10-09,173359.28,Credit
624,2092,2026-04-07,70864.26,Credit
625,420,2025-12-07,46730.99,Debit
626,4849,2024-12-28,132795.91,Debit
627,3714,2025-11-03,211443.38,Credit
628,4714,2024-10-31,216702.83,Debit
629,4653,2024-07-12,13168.79,Credit
630,726,2025-09-19,109716.14,Credit
631,3517,2025-05-05,57428.99,Debit
632,223,2025-03-04,55815.28,Debit
633,871,2024-12-30,142310.31,Debit
634,2763,2025-01-20,27658.39,Credit
635,2071,2025-03-29,49835.62,Credit
636,581,2026-02-01,241874.03,Debit
637,1018,2024-09-25,181465.84,Credit
638,1069,2025-09-28,35847.13,Debit
639,1919,2025-10-30,108416.44,Debit
640,2261,2024-09-23,95434.26,Debit
641,4608,2025-04-12,221980.48,Debit
642,1197,2025-01-20,82716.73,Credit
643,1061,2025-11-07,171080.13,Credit
644,4569,2025-02-25,103620.3,Debit
645,3750,2024-06-01,56434.77,Credit
646,2911,2024-11-28,53237.81,Credit
647,2183,2024-12-13,43509.77,Credit
648,1703,2025-11-26,212803.32,Debit
649,1036,2024-10-10,179586.98,Debit
650,3568,2024-10-07,194644.13,Credit
651,2428,2026-03-11,224167.23,Debit
652,165,2025-07-31,148107.08,Debit
653,3014,2025-10-05,50017.31,Credit
654,477,2026-04-21,103136.47,Credit
655,2557,2025-05-23,30518.05,Credit
656,386,2026-02-24,135296.66,Debit
657,2096,2025-12-10,172002.23,Credit
658,2373,2025-04-14,52459.09,Credit
659,134,2025-09-23,61700.55,Debit
660,2647,2024-08-11,28816.85,Debit
661,2642,2025-05-21,55322.71,Credit
662,2612,2025-10-07,150742.36,Debit
663,1960,2025-05-29,65688.38,Debit
664,2987,2025-12-23,88982.37,Debit
665,2620,2025-06-29,140066.04,Debit
666,365,2026-03-15,84186.16,Debit
667,4108,2025-07-10,203322.54,Credit
668,3687,2025-07-22,228075.21,Credit
669,1057,2025-02-05,201696.83,Debit
